organelle	population_1	population_2	n_population_1	n_population_2	numerator	denominator	callable_sites_with_at_least_two_calls_per_population	hudson_fst
mitochondria	CROB	TIL	10	8	10.7380952381	12.5702380952	43163	0.854247561322
mitochondria	CROB	TULP	10	17	3.49509803922	4.29607843137	43164	0.813555454131
mitochondria	CROS	CY_ALA	10	3	8.48888888889	10	43151	0.848888888889
mitochondria	CROS	CY_BAL	10	2	28.4888888889	30	42616	0.94962962963
mitochondria	CROS	CY_BGL	10	2	27.4888888889	30.5	43144	0.901275045537
mitochondria	CROS	CY_BOU	10	5	5.48888888889	7	43157	0.784126984127
mitochondria	CROS	CY_CAS	10	5	7.08888888889	16	43157	0.443055555556
mitochondria	CROS	CY_HICN	10	5	41.2888888889	43.9	43157	0.940521386991
mitochondria	CROS	CY_HICS	10	4	5.48888888889	7	43157	0.784126984127
mitochondria	CROS	CY_HUN	10	4	30.6888888889	32.2	43149	0.953071083506
mitochondria	CROS	CY_SIE	10	4	24.4888888889	36.25	43162	0.675555555556
mitochondria	CROS	CY_WOO	10	5	6.08888888889	7.8	43151	0.780626780627
mitochondria	CROS	DAN	10	5	7.48888888889	9	42977	0.832098765432
mitochondria	CROS	DOV	10	7	6.48888888889	8	43163	0.811111111111
mitochondria	CROS	DUD	10	8	1.01388888889	2.9	43164	0.349616858238
mitochondria	CROS	KIRN	10	9	1.08888888889	2.6	43164	0.418803418803
mitochondria	CROS	KIRT	10	10	1.08888888889	2.6	43164	0.418803418803
mitochondria	CROS	MALV	10	10	2.08888888889	3.6	43164	0.58024691358
mitochondria	CROS	OCO	10	10	32.0555555556	34.6444444444	43153	0.925272610648
mitochondria	CROS	QUI1	10	8	5.59603174603	7.375	43159	0.758783965564
mitochondria	CROS	QUI2	10	10	10.4888888889	12	43030	0.874074074074
mitochondria	CROS	QUIN	10	10	10.4888888889	12	43034	0.874074074074
mitochondria	CROS	RIC	10	10	1.08888888889	2.8	43164	0.388888888889
mitochondria	CROS	RSV	10	9	9.57222222222	11.4444444444	43163	0.83640776699
mitochondria	CROS	SILG	10	10	7.25555555556	9.84444444444	43156	0.737020316027
mitochondria	CROS	SILR	10	6	6.48888888889	8	43163	0.811111111111
mitochondria	CROS	STI	10	16	9.20793650794	11.4541666667	43163	0.803894056713
mitochondria	CROS	TIL	10	8	8.89365079365	11.8035714286	43163	0.753471171625
mitochondria	CROS	TULP	10	17	1.40359477124	3.28235294118	43164	0.427618478694
mitochondria	CY_ALA	CY_BAL	3	2	26	26	42609	1
mitochondria	CY_ALA	CY_BGL	3	2	25	26.5	43137	0.943396226415
mitochondria	CY_ALA	CY_BOU	3	5	3	3	43150	1
mitochondria	CY_ALA	CY_CAS	3	5	3	10.4	43150	0.288461538462
mitochondria	CY_ALA	CY_HICN	3	5	38.8	39.9	43150	0.972431077694
mitochondria	CY_ALA	CY_HICS	3	4	3	3	43149	1
mitochondria	CY_ALA	CY_HUN	3	4	32	32	43140	1
mitochondria	CY_ALA	CY_SIE	3	4	22	32.25	43151	0.682170542636
mitochondria	CY_ALA	CY_WOO	3	5	3.6	3.8	43141	0.947368421053
mitochondria	CY_ALA	DAN	3	5	13	13	42964	1
mitochondria	CY_ALA	DOV	3	7	8	8	43151	1
mitochondria	CY_ALA	DUD	3	8	7	7.375	43151	0.949152542373
mitochondria	CY_ALA	KIRN	3	9	8	8	43151	1
mitochondria	CY_ALA	KIRT	3	10	8	8	43151	1
mitochondria	CY_ALA	MALV	3	10	9	9	43151	1
mitochondria	CY_ALA	OCO	3	10	33.3666666667	34.4444444444	43142	0.968709677419
mitochondria	CY_ALA	QUI1	3	8	5.10714285714	5.375	43151	0.950166112957
mitochondria	CY_ALA	QUI2	3	10	10	10	43022	1
mitochondria	CY_ALA	QUIN	3	10	10	10	43022	1
mitochondria	CY_ALA	RIC	3	10	8	8.2	43151	0.975609756098
mitochondria	CY_ALA	RSV	3	9	9.08333333333	9.44444444444	43151	0.961764705882
mitochondria	CY_ALA	SILG	3	10	8.76666666667	9.84444444444	43144	0.890519187359
mitochondria	CY_ALA	SILR	3	6	12	12	43150	1
mitochondria	CY_ALA	STI	3	16	8.71904761905	9.45416666667	43151	0.922243908582
mitochondria	CY_ALA	TIL	3	8	8.40476190476	9.80357142857	43151	0.857316332726
mitochondria	CY_ALA	TULP	3	17	7.16176470588	7.52941176471	43151	0.951171875
mitochondria	CY_BAL	CY_BGL	2	2	1	2.5	42616	0.4
mitochondria	CY_BAL	CY_BOU	2	5	23	23	42616	1
mitochondria	CY_BAL	CY_CAS	2	5	19	26	42616	0.730769230769
mitochondria	CY_BAL	CY_HICN	2	5	27.8	28.9	42615	0.961937716263
mitochondria	CY_BAL	CY_HICS	2	4	23	23	42615	1
mitochondria	CY_BAL	CY_HUN	2	4	22	22	42616	1
mitochondria	CY_BAL	CY_SIE	2	4	18	28.25	42616	0.637168141593
mitochondria	CY_BAL	CY_WOO	2	5	23.6	23.8	42607	0.991596638655
mitochondria	CY_BAL	DAN	2	5	29	29	42429	1
mitochondria	CY_BAL	DOV	2	7	28	28	42616	1
mitochondria	CY_BAL	DUD	2	8	27	27.375	42616	0.986301369863
mitochondria	CY_BAL	KIRN	2	9	28	28	42616	1
mitochondria	CY_BAL	KIRT	2	10	28	28	42616	1
mitochondria	CY_BAL	MALV	2	10	29	29	42616	1
mitochondria	CY_BAL	OCO	2	10	21.3	22.1444444444	42616	0.961866532865
mitochondria	CY_BAL	QUI1	2	8	25.1071428571	25.375	42616	0.989444053483
mitochondria	CY_BAL	QUI2	2	10	30	30	42488	1
mitochondria	CY_BAL	QUIN	2	10	30	30	42488	1
mitochondria	CY_BAL	RIC	2	10	28	28.2	42616	0.992907801418
mitochondria	CY_BAL	RSV	2	9	29.0833333333	29.4444444444	42616	0.987735849057
mitochondria	CY_BAL	SILG	2	10	28.7666666667	29.8444444444	42609	0.963886820551
mitochondria	CY_BAL	SILR	2	6	29	29	42615	1
mitochondria	CY_BAL	STI	2	16	28.719047619	29.4541666667	42616	0.975041933593
mitochondria	CY_BAL	TIL	2	8	28.4047619048	29.8035714286	42616	0.953065708009
mitochondria	CY_BAL	TULP	2	17	27.1617647059	27.5294117647	42616	0.986645299145
mitochondria	CY_BGL	CY_BOU	2	5	22	23.5	43144	0.936170212766
mitochondria	CY_BGL	CY_CAS	2	5	17.6	26.5	43144	0.664150943396
mitochondria	CY_BGL	CY_HICN	2	5	29.8	31.9	43143	0.934169278997
mitochondria	CY_BGL	CY_HICS	2	4	22	23.5	43143	0.936170212766
mitochondria	CY_BGL	CY_HUN	2	4	19	20.5	43142	0.926829268293
mitochondria	CY_BGL	CY_SIE	2	4	19.25	31	43144	0.620967741935
mitochondria	CY_BGL	CY_WOO	2	5	22.6	24.3	43135	0.930041152263
mitochondria	CY_BGL	DAN	2	5	30	31.5	42957	0.952380952381
mitochondria	CY_BGL	DOV	2	7	27	28.5	43144	0.947368421053
mitochondria	CY_BGL	DUD	2	8	26	27.875	43144	0.932735426009
mitochondria	CY_BGL	KIRN	2	9	27	28.5	43144	0.947368421053
mitochondria	CY_BGL	KIRT	2	10	27	28.5	43144	0.947368421053
mitochondria	CY_BGL	MALV	2	10	28	29.5	43144	0.949152542373
mitochondria	CY_BGL	OCO	2	10	18.3666666667	20.9444444444	43143	0.876923076923
mitochondria	CY_BGL	QUI1	2	8	24.1071428571	25.875	43144	0.931677018634
mitochondria	CY_BGL	QUI2	2	10	29	30.5	43015	0.950819672131
mitochondria	CY_BGL	QUIN	2	10	29	30.5	43015	0.950819672131
mitochondria	CY_BGL	RIC	2	10	27	28.7	43144	0.940766550523
mitochondria	CY_BGL	RSV	2	9	28.0833333333	29.9444444444	43144	0.937847866419
mitochondria	CY_BGL	SILG	2	10	27.7666666667	30.3444444444	43137	0.915049432442
mitochondria	CY_BGL	SILR	2	6	29	30.5	43143	0.950819672131
mitochondria	CY_BGL	STI	2	16	27.719047619	29.9541666667	43144	0.925382032073
mitochondria	CY_BGL	TIL	2	8	27.4047619048	30.3035714286	43144	0.904340993911
mitochondria	CY_BGL	TULP	2	17	26.1617647059	28.0294117647	43144	0.933368310598
mitochondria	CY_BOU	CY_CAS	5	5	1.6	9	43157	0.177777777778
mitochondria	CY_BOU	CY_HICN	5	5	35.8	36.9	43156	0.970189701897
mitochondria	CY_BOU	CY_HICS	5	4	0	0	43156	nan
mitochondria	CY_BOU	CY_HUN	5	4	29	29	43146	1
mitochondria	CY_BOU	CY_SIE	5	4	19	29.25	43157	0.649572649573
mitochondria	CY_BOU	CY_WOO	5	5	0.6	0.8	43147	0.75
mitochondria	CY_BOU	DAN	5	5	10	10	42970	1
mitochondria	CY_BOU	DOV	5	7	5	5	43157	1
mitochondria	CY_BOU	DUD	5	8	4	4.375	43157	0.914285714286
mitochondria	CY_BOU	KIRN	5	9	5	5	43157	1
mitochondria	CY_BOU	KIRT	5	10	5	5	43157	1
mitochondria	CY_BOU	MALV	5	10	6	6	43157	1
mitochondria	CY_BOU	OCO	5	10	30.3666666667	31.4444444444	43148	0.965724381625
mitochondria	CY_BOU	QUI1	5	8	2.10714285714	2.375	43157	0.887218045113
