sample_id	input_reads	input_bases	input_q20_rate	input_q30_rate	passing_reads	passing_bases	passing_q20_rate	passing_q30_rate	read_retention	low_quality_reads	too_many_n_reads	adapter_dimer_reads	too_short_reads	adapter_trimmed_reads	adapter_trimmed_bases	duplication_rate
CY_SIE_LP_189_Du-446	29118214	4367732100	0.98355400	0.95326600	28572806	4129763292	0.99362300	0.97191200	0.98126918	225608	3562	60752	255486	4525550	158765791	0.08459480
CY_SIE_LP_190_Du-447	12077268	1811590200	0.98344500	0.95116300	11792062	1708950372	0.99317600	0.97068100	0.97638489	117228	1444	37514	129020	1743564	63309099	0.09941590
CY_SIE_LP_191_Du-448	5520358	828053700	0.97678300	0.93801300	5350570	755957828	0.99250000	0.96883300	0.96924330	64894	618	25074	79202	1227045	48598085	0.08584410
CY_WOO_LP_259_Du-664	1573918	236087700	0.98411800	0.95464900	1553034	222062679	0.99332900	0.97216800	0.98673120	12210	142	1808	6724	360088	10872494	0.05998790
CY_WOO_LP_260_Du-665	1262664	189399600	0.97071800	0.92919200	1234052	161705685	0.99352800	0.97295900	0.97733997	9644	118	1186	17664	641469	23703965	0.02917010
CY_WOO_LP_261_Du-667	9531934	1429790100	0.94502500	0.88041600	9042070	1076297750	0.99354500	0.97310500	0.94860812	81114	944	17724	390082	6425126	290594485	0.02788730
CY_WOO_LP_262_Du-668	2574338	386150700	0.96184100	0.90831300	2437442	302284066	0.99327900	0.97212500	0.94682283	21092	264	7960	107580	1528142	61910557	0.02378860
CY_WOO_LP_263_Du-669	2918808	437821200	0.97887300	0.94338200	2852680	394771236	0.99347000	0.97266900	0.97734418	21170	326	5308	39324	985275	33607119	0.04295250
DAN_LP_043_Du-68	2431018	364652700	0.98134700	0.94951300	2387758	337295009	0.99363500	0.97317800	0.98220499	18356	268	6906	17730	631542	21579255	0.05936360
DAN_LP_044_Du-69	3773524	566028600	0.98587700	0.95654200	3711358	536484096	0.99349500	0.97192300	0.98352574	28918	394	4186	28668	599425	19765879	0.07254020
DAN_LP_045_Du-70	26131904	3919785600	0.98791600	0.95976200	25666728	3812830572	0.99326000	0.97044300	0.98219892	266468	3208	27854	167646	1344737	39159633	0.12844700
DAN_LP_046_Du-71	35116088	5267413200	0.98678400	0.95980800	34596298	5036598738	0.99389000	0.97372200	0.98519795	252130	4296	117762	145602	5187530	157408096	0.09292130
DAN_LP_047_Du-72	2937156	440573400	0.98113200	0.94813000	2893234	407190152	0.99350800	0.97220900	0.98504608	22054	398	1942	19528	759496	26646840	0.05828150
DOV_LP_078_Du-174	1037422	155613300	0.97991600	0.93753700	985572	145312059	0.99077900	0.96062100	0.95002034	17800	128	1436	32486	75033	2710397	0.12229000
DOV_LP_079_Du-175	12463808	1869571200	0.98641300	0.95365600	12149828	1798617813	0.99220000	0.96575000	0.97480866	128778	1368	31136	152698	890100	24867087	0.12417000
DOV_LP_080_Du-176	39759510	5963926500	0.98407500	0.94695100	38150482	5667481305	0.99169800	0.96372600	0.95953099	544632	4388	97844	962164	2001503	61028368	0.12749800
DOV_LP_081_Du-177	23887624	3583143600	0.98400700	0.94775600	22953632	3412538778	0.99141000	0.96358200	0.96090059	343770	2836	62484	524902	1160512	34267124	0.14374600
DOV_LP_082_Du-178	3488714	523307100	0.98015000	0.93515700	3278590	484823122	0.99033800	0.95820700	0.93977036	58376	386	5412	145950	212919	7466606	0.12911200
DOV_LP_083_Du-179	19421384	2913207600	0.98577700	0.95287000	18892828	2792488700	0.99246200	0.96678800	0.97278484	215400	2132	89004	222020	1472754	44466224	0.11584000
DOV_LP_084_Du-180	17839492	2675923800	0.98477200	0.94953300	17245036	2559771590	0.99188300	0.96451000	0.96667753	241482	2076	67004	283894	991115	29859064	0.11857000
DU-173	142626714	21394007100	0.98560900	0.96094300	141296708	21163814219	0.98850900	0.96601600	0.99067492	963518	6506	348	359634	761714	39226183	0.17751200
DU-229	138027378	20704106700	0.98332900	0.95605500	136506172	20447948388	0.98670800	0.96182300	0.98897895	1190612	6092	162	324340	693840	34172689	0.14253200
DU-247	111833500	16775025000	0.98675500	0.96368400	110945108	16618440140	0.98924400	0.96800900	0.99205612	656582	5102	33980	192728	816115	33606983	0.14733700
DU-254	152335744	22850361600	0.98739700	0.96537800	151145864	22653937284	0.98967100	0.96935500	0.99218910	920742	7230	158	261750	633380	25764228	0.15959200
DU-270	132943884	19941582600	0.98640900	0.96296000	131783552	19739241835	0.98903000	0.96750300	0.99127202	822248	5904	63850	268330	1033571	44922134	0.15514400
DU-297	118039244	17705886600	0.98698200	0.96359800	117201864	17563174301	0.98916300	0.96739200	0.99290592	641062	4222	140	191956	428932	22080214	0.15805700
DU-443	122821078	18423161700	0.98636400	0.96287500	121750670	18233480900	0.98897700	0.96742100	0.99128482	746928	5328	104	318048	1011760	43380695	0.15296000
DU-4A	114738526	17210778900	0.98669800	0.96374800	113780632	17047144724	0.98924600	0.96818700	0.99165151	716658	5480	38316	197440	755056	29981759	0.17203400
DU014LP012	80007888	12001183200	0.98585300	0.95496300	77518512	11341911716	0.99407400	0.97207900	0.96888587	670226	42870	1089050	687230	9347467	335180654	0.19498100
DU037LP013	52892182	7933827300	0.98824600	0.95785200	51496630	7686842341	0.99366900	0.96890500	0.97361516	519300	27532	329556	519164	1293693	54345922	0.26720700
DU059LP015	81365676	12204851400	0.98837900	0.96045300	79603798	11783661921	0.99402000	0.97174500	0.97834618	633806	43956	663196	420920	5773470	188684921	0.20232800
DU078LP011	97284144	14592621600	0.97971900	0.93474300	85186396	12613625751	0.99299200	0.96805600	0.87564522	1191934	46574	9854596	1004644	10525043	515472640	0.27527400
DU079LP010	136596296	20489444400	0.97811400	0.93826600	126403568	18069026222	0.99423500	0.97318300	0.92538064	1222048	70214	7367312	1533154	28361152	1223193244	0.19183100
DUD_LP_132_Du-283	2274462	341169300	0.97106700	0.92919400	2215688	296226942	0.99347200	0.97229300	0.97415916	16030	236	4580	37928	914908	35444684	0.03971490
DUD_LP_133_Du-284	12324524	1848678600	0.98752000	0.96115200	12140682	1789219126	0.99366100	0.97293700	0.98508324	102792	1540	42484	37026	1098461	34178862	0.09744440
DUD_LP_134_Du-285	11325026	1698753900	0.98790800	0.96179000	11171350	1652206101	0.99345100	0.97233700	0.98643041	109286	1480	17134	25776	869319	23877994	0.10095200
DUD_LP_135_Du-286	4688732	703309800	0.98809400	0.96168300	4633840	687135132	0.99310200	0.97107600	0.98829278	41818	570	2630	9874	302332	8292066	0.09909630
DUD_LP_136_Du-287	13267488	1990123200	0.98778800	0.96132200	13084932	1928440753	0.99359400	0.97262000	0.98624035	102846	1690	38414	39606	1154231	36100867	0.09871920
DUD_LP_137_Du-288	1481362	222204300	0.98921300	0.96339200	1463376	217277549	0.99367400	0.97198900	0.98785847	10702	188	1190	5906	77075	2372032	0.10357900
DUD_LP_138_Du-289	12269370	1840405500	0.98896900	0.96337500	12107678	1792678648	0.99359200	0.97248600	0.98682149	105478	1652	27896	26666	901123	23822020	0.08922190
DUD_LP_139_Du-290	1523904	228585600	0.98630800	0.95837400	1504924	218747135	0.99338400	0.97205000	0.98754515	11592	196	940	6252	231207	6953711	0.08292780
