sample_id	cp_full_reference_mean_depth	cp_full_reference_breadth_dp1	cp_full_reference_breadth_dp3	cp_full_reference_breadth_dp5	cp_full_reference_breadth_dp10	cp_unique_sites_mean_depth	cp_unique_sites_breadth_dp1	cp_unique_sites_breadth_dp3	cp_unique_sites_breadth_dp5	cp_unique_sites_breadth_dp10	mt_full_reference_mean_depth	mt_full_reference_breadth_dp1	mt_full_reference_breadth_dp3	mt_full_reference_breadth_dp5	mt_full_reference_breadth_dp10	mt_unique_sites_mean_depth	mt_unique_sites_breadth_dp1	mt_unique_sites_breadth_dp3	mt_unique_sites_breadth_dp5	mt_unique_sites_breadth_dp10	mt_repeat_sites_mean_depth	mt_repeat_sites_breadth_dp1	mt_repeat_sites_breadth_dp3	mt_repeat_sites_breadth_dp5	mt_repeat_sites_breadth_dp10
BAI_LP_114_Du-232	214.312948	0.74746796	0.73725328	0.73193633	0.72647963	309.083743	1.00000000	1.00000000	0.99998988	0.99995951	12.262324	0.19157294	0.18951015	0.18887734	0.18760350	61.574838	0.92135381	0.92133254	0.92133254	0.92131127	0.456514	0.01685757	0.01430601	0.01352170	0.01194799
BAI_LP_319_Du-233	95.501457	0.71337690	0.70246350	0.69839094	0.69361965	141.177284	1.00000000	0.99995951	0.99994939	0.99990891	3.064863	0.18597627	0.18444767	0.18283688	0.17378030	15.513955	0.92148145	0.92131127	0.92118363	0.88463666	0.084451	0.00989045	0.00803663	0.00607076	0.00359560
COM_LP_269_Du-703	648.912074	0.75545337	0.71156687	0.70528501	0.69993479	965.584189	1.00000000	1.00000000	1.00000000	1.00000000	33.767845	0.20205951	0.19031965	0.18595984	0.18429563	171.051651	0.98459837	0.94349898	0.92316201	0.91809905	0.901004	0.01471345	0.01000250	0.00946774	0.00861722
COM_LP_270_Du-704	414.598274	0.71512703	0.69936250	0.69516350	0.69053196	618.385104	1.00000000	1.00000000	1.00000000	0.99998988	28.723614	0.18693782	0.18496131	0.18445178	0.18392991	145.964985	0.92848026	0.92148145	0.92148145	0.92148145	0.655092	0.00940662	0.00863250	0.00800098	0.00735418
COM_LP_272_Du-707	457.435005	0.75504079	0.70856569	0.70465283	0.69877025	678.975770	1.00000000	1.00000000	1.00000000	1.00000000	33.253995	0.20316076	0.19329468	0.18684331	0.18485858	168.809628	0.99506467	0.95977280	0.92909717	0.92148145	0.800892	0.01357263	0.00979369	0.00914179	0.00850518
COM_LP_274_Du-709	623.709125	0.74633004	0.71015611	0.70314226	0.69618830	928.186029	1.00000000	0.99978745	0.99830975	0.99706484	32.252508	0.19031554	0.18630912	0.18548728	0.18475585	163.069456	0.92671460	0.92148145	0.92148145	0.92148145	0.933884	0.01401572	0.01030298	0.00928439	0.00837785
COM_LP_276_Du-711	705.555425	0.94983830	0.90082782	0.84276721	0.72136231	1051.737323	1.00000000	1.00000000	1.00000000	1.00000000	26.429879	0.25080642	0.19087439	0.18433261	0.18356831	134.159335	0.93877638	0.92271528	0.92228982	0.92148145	0.638586	0.08610091	0.01566582	0.00765975	0.00690600
COM_LP_277_Du-712	598.793198	0.70997644	0.70146532	0.69829778	0.69349322	891.184440	1.00000000	1.00000000	1.00000000	1.00000000	20.852884	0.19935568	0.18625570	0.18429563	0.18346558	106.005446	0.98889551	0.92996937	0.92152400	0.92148145	0.466680	0.01033354	0.00820469	0.00779726	0.00677868
COM_LP_341_Du-713	951.509263	0.76289312	0.71574590	0.71066851	0.70503880	1415.231048	1.00000000	1.00000000	1.00000000	1.00000000	20.216622	0.18851162	0.18530237	0.18483393	0.18423399	102.591155	0.92622532	0.92148145	0.92148145	0.92148145	0.495500	0.01189706	0.00905521	0.00847462	0.00773105
COM_LP_342_Du-714	112.365579	0.71997817	0.70284281	0.69821127	0.69214235	164.853667	1.00000000	0.99998988	0.99996964	0.99990891	11.136054	0.18585711	0.18437781	0.18408606	0.18329710	56.609641	0.92197073	0.92148145	0.92148145	0.92148145	0.249314	0.00962562	0.00790931	0.00754771	0.00656987
COM_LP_343_Du-715	524.129956	0.74615037	0.70961710	0.70676231	0.70069340	778.442208	1.00000000	1.00000000	1.00000000	1.00000000	27.557152	0.18838424	0.18602969	0.18517499	0.18434905	139.889338	0.92671460	0.92328965	0.92148145	0.92148145	0.663928	0.01162204	0.00952376	0.00889733	0.00787365
CROB_LP_169_Du-381	67.778658	0.70330862	0.69453132	0.69053196	0.68512184	100.121880	0.99996964	0.99995951	0.99985830	0.99886642	2.321143	0.20111851	0.19868589	0.19361930	0.13386396	11.750702	0.99936181	0.99670269	0.98040759	0.68279867	0.063631	0.01001268	0.00763429	0.00525589	0.00244460
CROB_LP_170_Du-382	1019.472370	0.72554134	0.71925283	0.71649121	0.71068182	1505.532752	1.00000000	1.00000000	1.00000000	1.00000000	38.174487	0.20669464	0.20378946	0.20303338	0.20189514	192.887487	1.00000000	1.00000000	1.00000000	1.00000000	1.134957	0.01677099	0.01317029	0.01223319	0.01082246
CROB_LP_172_Du-384	178.386487	0.71465456	0.70468611	0.69994809	0.69363962	263.639967	1.00000000	1.00000000	1.00000000	0.99994939	14.207632	0.20381412	0.20197322	0.20075691	0.19980769	72.028442	1.00000000	1.00000000	1.00000000	1.00000000	0.364867	0.01320085	0.01091922	0.00941172	0.00823525
CROB_LP_173_Du-385	1141.776868	0.72822977	0.72200114	0.71874709	0.71358984	1685.310297	1.00000000	1.00000000	1.00000000	1.00000000	24.954125	0.20526876	0.20371139	0.20311145	0.20205540	125.800991	1.00000000	1.00000000	1.00000000	1.00000000	0.810579	0.01500374	0.01307353	0.01232996	0.01102108
CROB_LP_174_Du-386	1407.927606	0.74082676	0.72709185	0.72279969	0.71737626	2081.375954	1.00000000	1.00000000	1.00000000	1.00000000	30.925567	0.20775480	0.20453322	0.20370728	0.20266355	155.904867	1.00000000	1.00000000	1.00000000	1.00000000	1.004523	0.01808496	0.01409211	0.01306843	0.01177483
CROB_LP_175_Du-387	1192.662916	0.73845775	0.72376459	0.71770898	0.71140716	1761.359315	1.00000000	1.00000000	1.00000000	1.00000000	27.232936	0.20640700	0.20347717	0.20271286	0.20154176	137.597430	1.00000000	1.00000000	1.00000000	1.00000000	0.810793	0.01641448	0.01278323	0.01183595	0.01038446
CROB_LP_176_Du-388	1503.140270	0.73658783	0.72071017	0.71762248	0.71360315	2217.671909	1.00000000	1.00000000	1.00000000	1.00000000	37.830543	0.20574953	0.20392917	0.20321418	0.20229373	190.812223	1.00000000	1.00000000	1.00000000	1.00000000	1.205504	0.01559961	0.01334345	0.01245728	0.01131647
CROB_LP_177_Du-389	1111.306347	0.74561135	0.73470461	0.72963387	0.72504891	1637.327281	1.00000000	1.00000000	1.00000000	1.00000000	28.769727	0.20884783	0.20563447	0.20484552	0.20368263	144.535249	1.00000000	1.00000000	1.00000000	1.00000000	1.054535	0.01943968	0.01545701	0.01447917	0.01303788
CROB_LP_320_Du-395	862.118264	0.72774399	0.71506714	0.71102120	0.70638301	1272.604795	1.00000000	1.00000000	1.00000000	1.00000000	16.512416	0.20413052	0.20245399	0.20181707	0.20064596	83.478046	1.00000000	1.00000000	1.00000000	1.00000000	0.480308	0.01359300	0.01151509	0.01072569	0.00927421
CROB_LP_321_Du-396	866.861799	0.72638647	0.71765575	0.71384271	0.70857900	1283.014139	1.00000000	1.00000000	1.00000000	1.00000000	24.601301	0.20375248	0.20264301	0.20222798	0.20152943	124.112789	1.00000000	1.00000000	1.00000000	1.00000000	0.777455	0.01312446	0.01174937	0.01123498	0.01036919
CROS_LP_085_Du-181	561.120986	0.77734671	0.73529686	0.73145055	0.72527516	826.095464	1.00000000	1.00000000	1.00000000	1.00000000	44.465193	0.21442396	0.20758221	0.20641521	0.20429489	224.592644	1.00000000	1.00000000	1.00000000	1.00000000	1.341241	0.02635077	0.01787106	0.01642467	0.01379672
CROS_LP_086_Du-182	1024.752106	0.80155582	0.75595911	0.74763432	0.74013469	1477.120099	1.00000000	1.00000000	1.00000000	1.00000000	62.198817	0.21288302	0.20988334	0.20882729	0.20699460	311.987959	1.00000000	1.00000000	1.00000000	1.00000000	2.397299	0.02444092	0.02072309	0.01941421	0.01714277
CROS_LP_087_Du-183	254.025134	0.75859430	0.73990843	0.73688063	0.72997325	368.352240	1.00000000	1.00000000	0.99998988	0.99996964	19.480463	0.21197901	0.20869580	0.20751236	0.20547422	97.408994	1.00000000	1.00000000	1.00000000	1.00000000	0.823749	0.02332048	0.01925124	0.01778448	0.01525839
CROS_LP_088_Du-184	1019.753171	0.79023650	0.74814006	0.74356842	0.73666769	1485.803607	1.00000000	1.00000000	1.00000000	1.00000000	95.171220	0.21208585	0.20944777	0.20834652	0.20719595	481.227961	1.00000000	1.00000000	1.00000000	1.00000000	2.746148	0.02345290	0.02018324	0.01881834	0.01739232
CROS_LP_089_Du-185	2916.502662	0.77230259	0.76285984	0.75823496	0.75010980	4260.356248	1.00000000	1.00000000	1.00000000	1.00000000	86.905272	0.21512662	0.21075037	0.20962857	0.20851088	435.054289	1.00000000	1.00000000	1.00000000	1.00000000	3.555612	0.02722166	0.02179770	0.02040733	0.01902206
