sample_id	chloroplast_tip_order	mitochondria_tip_order	mitochondria_representative	identical_zero_length_tip_group
DUD_LP_132_Du-283	164	168	DUD_LP_132_Du-283	no
DUD_LP_133_Du-284	167	166	DUD_LP_133_Du-284	no
DUD_LP_134_Du-285	166	165	DUD_LP_134_Du-285	no
DUD_LP_135_Du-286	168	167	DUD_LP_133_Du-284	yes
DUD_LP_136_Du-287	172	169	DUD_LP_136_Du-287	no
DUD_LP_137_Du-288	100	87	DUD_LP_137_Du-288	no
DUD_LP_138_Du-289	165	172	DUD_LP_138_Du-289	no
DUD_LP_139_Du-290	170	175	DUD_LP_139_Du-290	no
KIRN_LP_179_Du-421	118	94	KIRN_LP_179_Du-421	no
KIRN_LP_180_Du-422	120	109	KIRN_LP_180_Du-422	no
KIRN_LP_181_Du-423	121	127	KIRN_LP_181_Du-423	no
KIRN_LP_182_Du-424	133	132	KIRN_LP_182_Du-424	no
KIRN_LP_183_Du-425	122	110	KIRN_LP_183_Du-425	no
KIRN_LP_184_Du-426	123	107	KIRN_LP_184_Du-426	no
KIRN_LP_185_Du-427	132	130	KIRN_LP_185_Du-427	no
KIRN_LP_186_Du-428	134	111	KIRN_LP_186_Du-428	no
KIRN_LP_187_Du-429	119	128	KIRN_LP_181_Du-423	yes
KIRT_LP_159_Du-364	124	125	KIRT_LP_159_Du-364	no
KIRT_LP_160_Du-365	130	131	KIRT_LP_160_Du-365	no
KIRT_LP_161_Du-366	127	108	KIRT_LP_161_Du-366	no
KIRT_LP_162_Du-367	126	112	KIRT_LP_162_Du-367	no
KIRT_LP_163_Du-368	128	126	KIRT_LP_159_Du-364	yes
KIRT_LP_164_Du-369	131	95	KIRT_LP_164_Du-369	no
KIRT_LP_165_Du-370	136	120	CROS_LP_093_Du-189	yes
KIRT_LP_166_Du-371	135	116	CROS_LP_093_Du-189	yes
KIRT_LP_167_Du-372	125	113	KIRT_LP_167_Du-372	no
KIRT_LP_168_Du-373	129	122	CROS_LP_093_Du-189	yes
MALV_LP_095_Du-201	109	102	MALV_LP_095_Du-201	no
MALV_LP_096_Du-202	110	106	MALV_LP_096_Du-202	no
MALV_LP_097_Du-203	114	104	MALV_LP_095_Du-201	yes
MALV_LP_098_Du-204	115	97	MALV_LP_098_Du-204	no
MALV_LP_099_Du-205	116	101	MALV_LP_099_Du-205	no
MALV_LP_100_Du-206	111	99	MALV_LP_098_Du-204	yes
MALV_LP_101_Du-207	117	100	MALV_LP_098_Du-204	yes
MALV_LP_102_Du-208	108	103	MALV_LP_095_Du-201	yes
MALV_LP_103_Du-209	112	105	MALV_LP_095_Du-201	yes
MALV_LP_104_Du-210	113	98	MALV_LP_098_Du-204	yes
OCO_LP_058_Du-115	20	18	OCO_LP_058_Du-115	no
OCO_LP_059_Du-106	23	22	OCO_LP_059_Du-106	no
OCO_LP_060_Du-107	24	23	OCO_LP_060_Du-107	no
OCO_LP_061_Du-108	25	24	OCO_LP_061_Du-108	no
OCO_LP_062_Du-109	26	25	OCO_LP_062_Du-109	no
OCO_LP_063_Du-110	28	19	OCO_LP_063_Du-110	no
OCO_LP_064_Du-111	29	20	OCO_LP_064_Du-111	no
OCO_LP_065_Du-112	27	26	OCO_LP_065_Du-112	no
OCO_LP_066_Du-113	22	27	OCO_LP_066_Du-113	no
OCO_LP_067_Du-114	21	21	OCO_LP_067_Du-114	no
QUI1_LP_249_Du-648	252	176	QUI1_LP_249_Du-648	no
QUI1_LP_250_Du-649	253	177	QUI1_LP_250_Du-649	no
