sample_id	organelle	pc1	pc2	species	popcode	population_name	naming_profile	plot_group
KIRN_LP_182_Du-424	mtDNA	0.92167552	-1.14705521	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRN_LP_183_Du-425	mtDNA	0.92167552	-1.14705521	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRN_LP_184_Du-426	mtDNA	0.92167552	-1.14705521	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRN_LP_185_Du-427	mtDNA	0.92167552	-1.14705521	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRN_LP_186_Du-428	mtDNA	0.92167552	-1.14705521	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRN_LP_187_Du-429	mtDNA	0.92167552	-1.14705521	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRT_LP_159_Du-364	mtDNA	0.92167552	-1.14705521	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_160_Du-365	mtDNA	0.92167552	-1.14705521	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_161_Du-366	mtDNA	0.92167552	-1.14705521	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_162_Du-367	mtDNA	0.92167552	-1.14705521	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_163_Du-368	mtDNA	0.92167552	-1.14705521	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_164_Du-369	mtDNA	0.92167552	-1.14705521	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_165_Du-370	mtDNA	0.92167552	-1.14705521	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_166_Du-371	mtDNA	0.92167552	-1.14705521	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_167_Du-372	mtDNA	0.92167552	-1.14705521	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_168_Du-373	mtDNA	0.92167552	-1.14705521	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
MALV_LP_095_Du-201	mtDNA	0.93453261	-1.18739067	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_096_Du-202	mtDNA	0.93453261	-1.18739067	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_097_Du-203	mtDNA	0.93453261	-1.18739067	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_098_Du-204	mtDNA	0.93453261	-1.18739067	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_099_Du-205	mtDNA	0.93453261	-1.18739067	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_100_Du-206	mtDNA	0.93453261	-1.18739067	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_101_Du-207	mtDNA	0.93453261	-1.18739067	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_102_Du-208	mtDNA	0.93453261	-1.18739067	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_103_Du-209	mtDNA	0.93453261	-1.18739067	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
MALV_LP_104_Du-210	mtDNA	0.93453261	-1.18739067	D. setchellii	MALV	Malech Vista	main_standard	D. setchellii_MALV
OCO_LP_058_Du-115	mtDNA	-4.72871043	-0.98692202	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard	D. setchellii_OCO
OCO_LP_059_Du-106	mtDNA	-4.85146611	-0.86811278	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard	D. setchellii_OCO
OCO_LP_060_Du-107	mtDNA	-4.80771562	-1.02311165	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard	D. setchellii_OCO
OCO_LP_061_Du-108	mtDNA	-4.85148655	-0.86821346	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard	D. setchellii_OCO
OCO_LP_062_Du-109	mtDNA	-4.83325807	-0.85970439	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard	D. setchellii_OCO
OCO_LP_063_Du-110	mtDNA	-4.78444354	-0.83761015	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard	D. setchellii_OCO
OCO_LP_064_Du-111	mtDNA	-4.74064683	-0.99226805	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard	D. setchellii_OCO
OCO_LP_065_Du-112	mtDNA	-4.83321184	-0.85936342	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard	D. setchellii_OCO
OCO_LP_066_Du-113	mtDNA	-4.10043701	-0.84698029	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard	D. setchellii_OCO
OCO_LP_067_Du-114	mtDNA	-4.72867038	-0.98661464	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard	D. setchellii_OCO
