sample_id	organelle	pc1	pc2	species	popcode	population_name	naming_profile	plot_group
DOV_LP_081_Du-177	cpDNA	-2.34832009	-1.40232522	D. setchellii	DOV	Dove Road	main_standard	D. setchellii_DOV
DOV_LP_082_Du-178	cpDNA	-2.35794609	-1.41972727	D. setchellii	DOV	Dove Road	main_standard	D. setchellii_DOV
DOV_LP_083_Du-179	cpDNA	-2.34054124	-1.38242458	D. setchellii	DOV	Dove Road	main_standard	D. setchellii_DOV
DOV_LP_084_Du-180	cpDNA	-2.34419350	-1.39216571	D. setchellii	DOV	Dove Road	main_standard	D. setchellii_DOV
DUD_LP_132_Du-283	cpDNA	-4.04450203	4.86836691	D. setchellii	DUD	Dude Rock	main_standard	D. setchellii_DUD
DUD_LP_133_Du-284	cpDNA	-4.04450203	4.86836691	D. setchellii	DUD	Dude Rock	main_standard	D. setchellii_DUD
DUD_LP_134_Du-285	cpDNA	-4.04450203	4.86836691	D. setchellii	DUD	Dude Rock	main_standard	D. setchellii_DUD
DUD_LP_135_Du-286	cpDNA	-4.04450203	4.86836691	D. setchellii	DUD	Dude Rock	main_standard	D. setchellii_DUD
DUD_LP_136_Du-287	cpDNA	-4.03493113	4.83851302	D. setchellii	DUD	Dude Rock	main_standard	D. setchellii_DUD
DUD_LP_137_Du-288	cpDNA	-4.11496082	4.93491653	D. setchellii	DUD	Dude Rock	main_standard	D. setchellii_DUD
DUD_LP_138_Du-289	cpDNA	-4.04450203	4.86836691	D. setchellii	DUD	Dude Rock	main_standard	D. setchellii_DUD
DUD_LP_139_Du-290	cpDNA	-4.03673867	4.84407401	D. setchellii	DUD	Dude Rock	main_standard	D. setchellii_DUD
KIRN_LP_179_Du-421	cpDNA	-4.12766453	5.01452341	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRN_LP_180_Du-422	cpDNA	-4.05763398	5.03831040	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRN_LP_181_Du-423	cpDNA	-4.05763398	5.03831040	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRN_LP_182_Du-424	cpDNA	-4.05763398	5.03831040	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRN_LP_183_Du-425	cpDNA	-4.05763398	5.03831040	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRN_LP_184_Du-426	cpDNA	-4.05763398	5.03831040	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRN_LP_185_Du-427	cpDNA	-4.05763398	5.03831040	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRN_LP_186_Du-428	cpDNA	-4.05763398	5.03831040	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRN_LP_187_Du-429	cpDNA	-4.12766453	5.01452341	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard	D. setchellii_KIRN
KIRT_LP_159_Du-364	cpDNA	-4.06205509	5.02127597	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_160_Du-365	cpDNA	-4.06648885	5.02669769	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
KIRT_LP_161_Du-366	cpDNA	-4.06605921	5.02614671	D. setchellii	KIRT	KC Transect	main_standard	D. setchellii_KIRT
