organelle	population_1	population_2	n_population_1	n_population_2	numerator	denominator	callable_sites_with_at_least_two_calls_per_population	hudson_fst
mitochondria	CROS	DOV	10	7	6.48888888889	8.125	43181	0.798632478632
mitochondria	CROS	DUD	10	8	1.01388888889	3.025	43182	0.335169880624
mitochondria	CROS	KIRN	10	9	1.08888888889	2.725	43182	0.399592252803
mitochondria	CROS	KIRT	10	10	1.08888888889	2.725	43182	0.399592252803
mitochondria	CROS	MALV	10	10	2.08888888889	3.725	43182	0.560775540641
mitochondria	CROS	OCO	10	10	32	34.7138888889	43171	0.921821237097
mitochondria	CROS	QUI1	10	9	5.57222222222	7.45833333333	43174	0.747113594041
mitochondria	CROS	QUI2	10	10	10.4888888889	12.125	43053	0.865063001145
mitochondria	CROS	QUIN	10	10	10.4888888889	12.125	43039	0.865063001145
mitochondria	CROS	RIC	10	10	1.08888888889	2.925	43182	0.372269705603
mitochondria	CROS	RSV	10	9	9.57222222222	11.5694444444	43171	0.827370948379
mitochondria	CROS	SILG	10	10	7.22222222222	9.925	43174	0.727679820879
mitochondria	CROS	SILR	10	6	6.48888888889	8.125	43181	0.798632478632
mitochondria	CROS	STI	10	16	9.09603174603	11.6160714286	43170	0.783055769067
mitochondria	CROS	TIL	10	8	8.88174603175	11.875	43170	0.747936507937
mitochondria	CROS	TULP	10	17	1.37707961973	3.53235294118	43182	0.389847685851
mitochondria	CY_ALA	CY_BAL	3	3	28	28	42856	1
mitochondria	CY_ALA	CY_BGL	3	2	25	26.5	43153	0.943396226415
mitochondria	CY_ALA	CY_BOU	3	5	3	3	43166	1
mitochondria	CY_ALA	CY_CAS	3	5	3	10.4	43166	0.288461538462
mitochondria	CY_ALA	CY_HICN	3	5	38.8	39.9	43166	0.972431077694
mitochondria	CY_ALA	CY_HICS	3	5	3	3	43166	1
mitochondria	CY_ALA	CY_HUN	3	4	32	32	43157	1
mitochondria	CY_ALA	CY_SIE	3	4	22	32.25	43167	0.682170542636
mitochondria	CY_ALA	CY_WOO	3	5	3.6	3.8	43161	0.947368421053
mitochondria	CY_ALA	DAN	3	5	13	13	42980	1
mitochondria	CY_ALA	DOV	3	7	8	8	43167	1
mitochondria	CY_ALA	DUD	3	8	7	7.375	43167	0.949152542373
mitochondria	CY_ALA	KIRN	3	9	8	8	43167	1
mitochondria	CY_ALA	KIRT	3	10	8	8	43167	1
mitochondria	CY_ALA	MALV	3	10	9	9	43167	1
mitochondria	CY_ALA	OCO	3	10	33.3111111111	34.3888888889	43158	0.968659127625
mitochondria	CY_ALA	QUI1	3	9	5.08333333333	5.33333333333	43167	0.953125
mitochondria	CY_ALA	QUI2	3	10	10	10	43043	1
mitochondria	CY_ALA	QUIN	3	10	10	10	43025	1
mitochondria	CY_ALA	RIC	3	10	8	8.2	43167	0.975609756098
mitochondria	CY_ALA	RSV	3	9	9.08333333333	9.44444444444	43157	0.961764705882
mitochondria	CY_ALA	SILG	3	10	8.73333333333	9.8	43160	0.891156462585
mitochondria	CY_ALA	SILR	3	6	12	12	43166	1
mitochondria	CY_ALA	STI	3	16	8.60714285714	9.49107142857	43156	0.906867356538
mitochondria	CY_ALA	TIL	3	8	8.39285714286	9.75	43156	0.860805860806
mitochondria	CY_ALA	TULP	3	17	7.17691622103	7.69607843137	43167	0.932541980313
mitochondria	CY_BAL	CY_BGL	3	2	1	2.5	42865	0.4
mitochondria	CY_BAL	CY_BOU	3	5	25	25	42862	1
mitochondria	CY_BAL	CY_CAS	3	5	20.6	28	42862	0.735714285714
mitochondria	CY_BAL	CY_HICN	3	5	29.8	30.9	42861	0.964401294498
mitochondria	CY_BAL	CY_HICS	3	5	25	25	42864	1
mitochondria	CY_BAL	CY_HUN	3	4	22	22	42865	1
mitochondria	CY_BAL	CY_SIE	3	4	20	30.25	42864	0.661157024793
mitochondria	CY_BAL	CY_WOO	3	5	25.6	25.8	42858	0.992248062016
mitochondria	CY_BAL	DAN	3	5	31	31	42680	1
mitochondria	CY_BAL	DOV	3	7	30	30	42867	1
mitochondria	CY_BAL	DUD	3	8	29	29.375	42867	0.987234042553
mitochondria	CY_BAL	KIRN	3	9	30	30	42867	1
mitochondria	CY_BAL	KIRT	3	10	30	30	42867	1
mitochondria	CY_BAL	MALV	3	10	31	31	42867	1
mitochondria	CY_BAL	OCO	3	10	21.3111111111	22.3888888889	42867	0.951861042184
mitochondria	CY_BAL	QUI1	3	9	27.0833333333	27.3333333333	42862	0.990853658537
mitochondria	CY_BAL	QUI2	3	10	32	32	42742	1
mitochondria	CY_BAL	QUIN	3	10	32	32	42726	1
mitochondria	CY_BAL	RIC	3	10	30	30.2	42867	0.993377483444
