sample_id	organelle	haplotype_id	species_group	popcode
CY_HICN_LP_335_Du-615	cpDNA	H065	D. cymosa	CY_HICN
CY_HICN_LP_336_Du-616	cpDNA	H062	D. cymosa	CY_HICN
CY_HICS_LP_293_Du-757	cpDNA	H066	D. cymosa	CY_HICS
CY_HICS_LP_295_Du-759	cpDNA	H067	D. cymosa	CY_HICS
CY_HICS_LP_297_Du-761	cpDNA	H068	D. cymosa	CY_HICS
CY_HICS_LP_355_Du-762	cpDNA	H069	D. cymosa	CY_HICS
CY_HICS_LP_356_Du-763	cpDNA	H070	D. cymosa	CY_HICS
CY_HUN_LP_264_Du-683	cpDNA	H071	D. cymosa	CY_HUN
CY_HUN_LP_266_Du-685	cpDNA	H072	D. cymosa	CY_HUN
CY_HUN_LP_267_Du-686	cpDNA	H073	D. cymosa	CY_HUN
CY_HUN_LP_268_Du-687	cpDNA	H074	D. cymosa	CY_HUN
CY_SIE_LP_188_Du-445	cpDNA	H065	D. cymosa	CY_SIE
CY_SIE_LP_189_Du-446	cpDNA	H065	D. cymosa	CY_SIE
CY_SIE_LP_190_Du-447	cpDNA	H075	D. cymosa	CY_SIE
CY_SIE_LP_191_Du-448	cpDNA	H076	D. cymosa	CY_SIE
CY_WOO_LP_259_Du-664	cpDNA	H077	D. cymosa	CY_WOO
CY_WOO_LP_260_Du-665	cpDNA	H078	D. cymosa	CY_WOO
CY_WOO_LP_261_Du-667	cpDNA	H079	D. cymosa	CY_WOO
CY_WOO_LP_262_Du-668	cpDNA	H080	D. cymosa	CY_WOO
CY_WOO_LP_263_Du-669	cpDNA	H080	D. cymosa	CY_WOO
DAN_LP_043_Du-68	cpDNA	H081	D. setchellii	DAN
DAN_LP_044_Du-69	cpDNA	H012	D. setchellii	DAN
DAN_LP_045_Du-70	cpDNA	H082	D. setchellii	DAN
DAN_LP_046_Du-71	cpDNA	H082	D. setchellii	DAN
DAN_LP_047_Du-72	cpDNA	H012	D. setchellii	DAN
DOV_LP_078_Du-174	cpDNA	H083	D. setchellii	DOV
DOV_LP_079_Du-175	cpDNA	H084	D. setchellii	DOV
DOV_LP_080_Du-176	cpDNA	H085	D. setchellii	DOV
DOV_LP_081_Du-177	cpDNA	H086	D. setchellii	DOV
DOV_LP_082_Du-178	cpDNA	H087	D. setchellii	DOV
DOV_LP_083_Du-179	cpDNA	H084	D. setchellii	DOV
DOV_LP_084_Du-180	cpDNA	H088	D. setchellii	DOV
DUD_LP_132_Du-283	cpDNA	H089	D. setchellii	DUD
DUD_LP_133_Du-284	cpDNA	H089	D. setchellii	DUD
DUD_LP_134_Du-285	cpDNA	H089	D. setchellii	DUD
DUD_LP_135_Du-286	cpDNA	H089	D. setchellii	DUD
DUD_LP_136_Du-287	cpDNA	H090	D. setchellii	DUD
DUD_LP_137_Du-288	cpDNA	H008	D. setchellii	DUD
DUD_LP_138_Du-289	cpDNA	H089	D. setchellii	DUD
DUD_LP_139_Du-290	cpDNA	H091	D. setchellii	DUD
KIRN_LP_179_Du-421	cpDNA	H092	D. setchellii	KIRN
KIRN_LP_180_Du-422	cpDNA	H093	D. setchellii	KIRN
KIRN_LP_181_Du-423	cpDNA	H093	D. setchellii	KIRN
KIRN_LP_182_Du-424	cpDNA	H093	D. setchellii	KIRN
KIRN_LP_183_Du-425	cpDNA	H093	D. setchellii	KIRN
KIRN_LP_184_Du-426	cpDNA	H093	D. setchellii	KIRN
KIRN_LP_185_Du-427	cpDNA	H093	D. setchellii	KIRN
KIRN_LP_186_Du-428	cpDNA	H093	D. setchellii	KIRN
KIRN_LP_187_Du-429	cpDNA	H092	D. setchellii	KIRN
KIRT_LP_159_Du-364	cpDNA	H094	D. setchellii	KIRT
KIRT_LP_160_Du-365	cpDNA	H093	D. setchellii	KIRT
KIRT_LP_161_Du-366	cpDNA	H093	D. setchellii	KIRT
KIRT_LP_162_Du-367	cpDNA	H093	D. setchellii	KIRT
KIRT_LP_163_Du-368	cpDNA	H093	D. setchellii	KIRT
KIRT_LP_164_Du-369	cpDNA	H093	D. setchellii	KIRT
KIRT_LP_165_Du-370	cpDNA	H093	D. setchellii	KIRT
KIRT_LP_166_Du-371	cpDNA	H093	D. setchellii	KIRT
KIRT_LP_167_Du-372	cpDNA	H094	D. setchellii	KIRT
KIRT_LP_168_Du-373	cpDNA	H093	D. setchellii	KIRT
MALV_LP_095_Du-201	cpDNA	H095	D. setchellii	MALV
MALV_LP_096_Du-202	cpDNA	H095	D. setchellii	MALV
MALV_LP_097_Du-203	cpDNA	H095	D. setchellii	MALV
MALV_LP_098_Du-204	cpDNA	H095	D. setchellii	MALV
MALV_LP_099_Du-205	cpDNA	H096	D. setchellii	MALV
MALV_LP_100_Du-206	cpDNA	H095	D. setchellii	MALV
MALV_LP_101_Du-207	cpDNA	H096	D. setchellii	MALV
MALV_LP_102_Du-208	cpDNA	H097	D. setchellii	MALV
MALV_LP_103_Du-209	cpDNA	H095	D. setchellii	MALV
MALV_LP_104_Du-210	cpDNA	H095	D. setchellii	MALV
OCO_LP_058_Du-115	cpDNA	H098	D. setchellii	OCO
OCO_LP_059_Du-106	cpDNA	H099	D. setchellii	OCO
OCO_LP_060_Du-107	cpDNA	H100	D. setchellii	OCO
OCO_LP_061_Du-108	cpDNA	H101	D. setchellii	OCO
OCO_LP_062_Du-109	cpDNA	H102	D. setchellii	OCO
OCO_LP_063_Du-110	cpDNA	H103	D. setchellii	OCO
OCO_LP_064_Du-111	cpDNA	H104	D. setchellii	OCO
OCO_LP_065_Du-112	cpDNA	H105	D. setchellii	OCO
OCO_LP_066_Du-113	cpDNA	H098	D. setchellii	OCO
OCO_LP_067_Du-114	cpDNA	H098	D. setchellii	OCO
QUI1_LP_249_Du-648	cpDNA	H106	D. setchellii	QUI1
QUI1_LP_250_Du-649	cpDNA	H107	D. setchellii	QUI1
QUI1_LP_251_Du-650	cpDNA	H106	D. setchellii	QUI1
QUI1_LP_252_Du-651	cpDNA	H108	D. setchellii	QUI1
QUI1_LP_253_Du-652	cpDNA	H109	D. setchellii	QUI1
QUI1_LP_254_Du-653	cpDNA	H109	D. setchellii	QUI1
