sample_id	organelle	haplotype_id	species_group	popcode
QUI2_LP_243_Du-631	mtDNA	H001	D. setchellii	QUI2
QUI2_LP_244_Du-632	mtDNA	H001	D. setchellii	QUI2
QUI2_LP_245_Du-633	mtDNA	H001	D. setchellii	QUI2
QUI2_LP_246_Du-634	mtDNA	H001	D. setchellii	QUI2
QUI2_LP_247_Du-635	mtDNA	H001	D. setchellii	QUI2
QUI2_LP_248_Du-636	mtDNA	H001	D. setchellii	QUI2
QUI2_LP_337_Du-638	mtDNA	H001	D. setchellii	QUI2
QUI2_LP_338_Du-639	mtDNA	H001	D. setchellii	QUI2
QUI2_LP_339_Du-640	mtDNA	H001	D. setchellii	QUI2
QUI2_LP_340_Du-641	mtDNA	H001	D. setchellii	QUI2
QUIN_LP_069_Du-155	mtDNA	H001	D. setchellii	QUIN
QUIN_LP_070_Du-156	mtDNA	H001	D. setchellii	QUIN
QUIN_LP_071_Du-157	mtDNA	H001	D. setchellii	QUIN
QUIN_LP_072_Du-158	mtDNA	H001	D. setchellii	QUIN
QUIN_LP_073_Du-159	mtDNA	H001	D. setchellii	QUIN
QUIN_LP_074_Du-160	mtDNA	H001	D. setchellii	QUIN
QUIN_LP_075_Du-161	mtDNA	H001	D. setchellii	QUIN
QUIN_LP_076_Du-162	mtDNA	H001	D. setchellii	QUIN
QUIN_LP_077_Du-163	mtDNA	H001	D. setchellii	QUIN
QUIN_LP_318_Du-164	mtDNA	H001	D. setchellii	QUIN
RIC_LP_192_Du-521	mtDNA	H026	D. setchellii	RIC
RIC_LP_193_Du-522	mtDNA	H026	D. setchellii	RIC
RIC_LP_194_Du-523	mtDNA	H026	D. setchellii	RIC
RIC_LP_195_Du-524	mtDNA	H026	D. setchellii	RIC
RIC_LP_196_Du-525	mtDNA	H026	D. setchellii	RIC
RIC_LP_197_Du-526	mtDNA	H047	D. setchellii	RIC
RIC_LP_198_Du-527	mtDNA	H026	D. setchellii	RIC
RIC_LP_199_Du-528	mtDNA	H026	D. setchellii	RIC
RIC_LP_200_Du-529	mtDNA	H026	D. setchellii	RIC
RIC_LP_201_Du-530	mtDNA	H026	D. setchellii	RIC
RSV_LP_049_Du-85	mtDNA	H048	D. setchellii	RSV
RSV_LP_050_Du-87	mtDNA	H048	D. setchellii	RSV
RSV_LP_051_Du-88	mtDNA	H048	D. setchellii	RSV
RSV_LP_052_Du-89	mtDNA	H048	D. setchellii	RSV
RSV_LP_053_Du-90	mtDNA	H048	D. setchellii	RSV
RSV_LP_055_Du-92	mtDNA	H048	D. setchellii	RSV
RSV_LP_057_Du-94	mtDNA	H048	D. setchellii	RSV
RSV_LP_315_Du-95	mtDNA	H048	D. setchellii	RSV
RSV_LP_316_Du-96	mtDNA	H049	D. setchellii	RSV
SILG_LP_149_Du-343	mtDNA	H050	D. setchellii	SILG
SILG_LP_150_Du-344	mtDNA	H050	D. setchellii	SILG
SILG_LP_151_Du-345	mtDNA	H051	D. setchellii	SILG
SILG_LP_152_Du-346	mtDNA	H051	D. setchellii	SILG
SILG_LP_153_Du-347	mtDNA	H050	D. setchellii	SILG
SILG_LP_154_Du-348	mtDNA	H050	D. setchellii	SILG
SILG_LP_155_Du-349	mtDNA	H051	D. setchellii	SILG
SILG_LP_156_Du-350	mtDNA	H051	D. setchellii	SILG
SILG_LP_157_Du-351	mtDNA	H050	D. setchellii	SILG
SILG_LP_158_Du-352	mtDNA	H050	D. setchellii	SILG
SILR_LP_346_Du-729	mtDNA	H009	D. setchellii	SILR
SILR_LP_347_Du-730	mtDNA	H009	D. setchellii	SILR
SILR_LP_348_Du-731	mtDNA	H009	D. setchellii	SILR
SILR_LP_349_Du-732	mtDNA	H009	D. setchellii	SILR
SILR_LP_351_Du-734	mtDNA	H009	D. setchellii	SILR
SILR_LP_353_Du-736	mtDNA	H009	D. setchellii	SILR
STI_LP_027_Du-45	mtDNA	H052	D. setchellii	STI
STI_LP_028_Du-46	mtDNA	H008	D. setchellii	STI
STI_LP_029_Du-47	mtDNA	H008	D. setchellii	STI
STI_LP_030_Du-48	mtDNA	H008	D. setchellii	STI
STI_LP_031_Du-49	mtDNA	H008	D. setchellii	STI
STI_LP_032_Du-50	mtDNA	H008	D. setchellii	STI
STI_LP_033_Du-51	mtDNA	H008	D. setchellii	STI
STI_LP_034_Du-52	mtDNA	H053	D. setchellii	STI
STI_LP_035_Du-53	mtDNA	H008	D. setchellii	STI
STI_LP_036_Du-54	mtDNA	H008	D. setchellii	STI
STI_LP_037_Du-55	mtDNA	H008	D. setchellii	STI
STI_LP_038_Du-56	mtDNA	H008	D. setchellii	STI
STI_LP_039_Du-57	mtDNA	H053	D. setchellii	STI
STI_LP_040_Du-58	mtDNA	H052	D. setchellii	STI
STI_LP_041_Du-60	mtDNA	H053	D. setchellii	STI
STI_LP_042_Du-61	mtDNA	H052	D. setchellii	STI
TIL_LP_123_Du-263	mtDNA	H054	D. setchellii	TIL
TIL_LP_124_Du-264	mtDNA	H055	D. setchellii	TIL
TIL_LP_125_Du-265	mtDNA	H056	D. setchellii	TIL
TIL_LP_126_Du-266	mtDNA	H056	D. setchellii	TIL
TIL_LP_127_Du-267	mtDNA	H057	D. setchellii	TIL
TIL_LP_128_Du-268	mtDNA	H057	D. setchellii	TIL
TIL_LP_129_Du-269	mtDNA	H004	D. setchellii	TIL
TIL_LP_130_Du-271	mtDNA	H004	D. setchellii	TIL
TIL_LP_131_Du-272	mtDNA	H004	D. setchellii	TIL
TULP_LP_115_Du-242	mtDNA	H058	D. setchellii	TULP
TULP_LP_116_Du-243	mtDNA	H003	D. setchellii	TULP
TULP_LP_117_Du-244	mtDNA	H003	D. setchellii	TULP
TULP_LP_118_Du-245	mtDNA	H003	D. setchellii	TULP
TULP_LP_119_Du-246	mtDNA	H003	D. setchellii	TULP
TULP_LP_120_Du-248	mtDNA	H058	D. setchellii	TULP
TULP_LP_121_Du-249	mtDNA	H003	D. setchellii	TULP
TULP_LP_122_Du-250	mtDNA	H003	D. setchellii	TULP
TULP_LP_140_Du-302	mtDNA	H003	D. setchellii	TULP
TULP_LP_141_Du-303	mtDNA	H058	D. setchellii	TULP
TULP_LP_142_Du-304	mtDNA	H058	D. setchellii	TULP
TULP_LP_143_Du-305	mtDNA	H003	D. setchellii	TULP
TULP_LP_144_Du-306	mtDNA	H003	D. setchellii	TULP
TULP_LP_145_Du-307	mtDNA	H058	D. setchellii	TULP
TULP_LP_146_Du-308	mtDNA	H003	D. setchellii	TULP
TULP_LP_147_Du-309	mtDNA	H058	D. setchellii	TULP
TULP_LP_148_Du-310	mtDNA	H058	D. setchellii	TULP
