sample_id	batch	species	popcode	organelle	reference_length	input_read_records	mapped_reads	mean_depth	total_depth	bases_ge_1x	breadth_ge_1x	bases_ge_5x	breadth_ge_5x	bases_ge_10x	breadth_ge_10x	bam_path	idxstats_path	depth_path
DU078LP011	QB3.Berkeley.250811/QB3.250916.Results5genomes			mitochondria	243359	97284144	2684205	1477.274985	359508163	243223	0.999441	243174	0.999240	243172	0.999232	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/DU078LP011.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU078LP011.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU078LP011.depth.tsv
DU079LP010	QB3.Berkeley.250811/QB3.250916.Results5genomes			chloroplast	150274	136596296	16425043	13825.174954	2077564341	150274	1.000000	150274	1.000000	150274	1.000000	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/DU079LP010.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU079LP010.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU079LP010.depth.tsv
DU079LP010	QB3.Berkeley.250811/QB3.250916.Results5genomes			mitochondria	243359	136596296	3020780	1653.596292	402417540	243254	0.999569	243241	0.999515	243240	0.999511	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/DU079LP010.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU079LP010.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU079LP010.depth.tsv
ABAB_MAD_LP_222_Du-589	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. abramsii	ABAB_MAD	chloroplast	150274	5378	283	0.211846	31835	20147	0.134068	74	0.000492	0	0.000000	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/ABAB_MAD_LP_222_Du-589.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/ABAB_MAD_LP_222_Du-589.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/ABAB_MAD_LP_222_Du-589.depth.tsv
ABAB_MAD_LP_222_Du-589	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. abramsii	ABAB_MAD	mitochondria	243359	5378	22	0.010511	2558	1976	0.008120	0	0.000000	0	0.000000	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/ABAB_MAD_LP_222_Du-589.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/ABAB_MAD_LP_222_Du-589.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/ABAB_MAD_LP_222_Du-589.depth.tsv
ABAB_MAD_LP_223_Du-590	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. abramsii	ABAB_MAD	chloroplast	150274	1107924	172130	128.358685	19288973	150254	0.999867	150191	0.999448	150125	0.999008	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/ABAB_MAD_LP_223_Du-590.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/ABAB_MAD_LP_223_Du-590.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/ABAB_MAD_LP_223_Du-590.depth.tsv
ABAB_MAD_LP_223_Du-590	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. abramsii	ABAB_MAD	mitochondria	243359	1107924	20184	9.638587	2345637	241949	0.994206	207108	0.851039	103642	0.425881	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/ABAB_MAD_LP_223_Du-590.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/ABAB_MAD_LP_223_Du-590.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/ABAB_MAD_LP_223_Du-590.depth.tsv
ABAB_MAD_LP_322_Du-593	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. abramsii	ABAB_MAD	chloroplast	150274	14447920	3533322	2608.213031	391946605	150269	0.999967	150259	0.999900	150258	0.999894	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/ABAB_MAD_LP_322_Du-593.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/ABAB_MAD_LP_322_Du-593.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/ABAB_MAD_LP_322_Du-593.depth.tsv
ABAB_MAD_LP_322_Du-593	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. abramsii	ABAB_MAD	mitochondria	243359	14447920	238413	112.724021	27432405	243071	0.998817	243054	0.998747	243018	0.998599	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/ABAB_MAD_LP_322_Du-593.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/ABAB_MAD_LP_322_Du-593.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/ABAB_MAD_LP_322_Du-593.depth.tsv
ABAB_MAD_LP_323_Du-594	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. abramsii	ABAB_MAD	chloroplast	150274	2471082	502441	317.397714	47696624	150259	0.999900	150238	0.999760	150214	0.999601	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/bam/ABAB_MAD_LP_323_Du-594.organelle.sorted.bam	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/ABAB_MAD_LP_323_Du-594.idxstats.tsv	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/ABAB_MAD_LP_323_Du-594.depth.tsv
