sample_id	batch	species	popcode	track_id	organelle	purpose	record	region_count	region_bp	total_depth	mean_depth	bases_ge_1x	breadth_ge_1x	bases_ge_5x	breadth_ge_5x	bases_ge_10x	breadth_ge_10x	bed_path	depth_path
DU-270	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_population_sites	cpDNA	variant_calling_and_population_genetics	chloroplast	1	124538	1239569778	9953.345790	124538	1.000000	124538	1.000000	124538	1.000000	dudleya_organelle_alignment_pipeline/results/05_analysis_masks/cpdna_population_sites.bed	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-270.depth.tsv
DU-270	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mtdna_permissive_coverage	mtDNA	sample_qc_coverage	mitochondria	1	243359	248378091	1020.624226	242449	0.996261	242439	0.996220	242389	0.996014	dudleya_organelle_alignment_pipeline/results/05_analysis_masks/mtdna_permissive_coverage_regions.bed	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-270.depth.tsv
DU-270	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mtdna_high_confidence_unique	mtDNA	variant_calling_and_population_genetics	mitochondria	2	44930	76840453	1710.225974	44795	0.996995	44795	0.996995	44795	0.996995	dudleya_organelle_alignment_pipeline/results/05_analysis_masks/mtdna_high_confidence_unique_regions.bed	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-270.depth.tsv
DU-297	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_full_coverage	cpDNA	sample_qc_coverage	chloroplast	1	150274	3132097196	20842.575535	150274	1.000000	150274	1.000000	150274	1.000000	dudleya_organelle_alignment_pipeline/results/05_analysis_masks/cpdna_full_coverage_regions.bed	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-297.depth.tsv
DU-297	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_ir_regions	cpDNA	repeat_annotation	chloroplast	2	51472	1173269571	22794.326449	51472	1.000000	51472	1.000000	51472	1.000000	dudleya_organelle_alignment_pipeline/results/05_analysis_masks/cpdna_ir_regions.bed	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-297.depth.tsv
DU-297	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_duplicate_ir_mask	cpDNA	mask	chloroplast	1	25736	563678029	21902.316949	25736	1.000000	25736	1.000000	25736	1.000000	dudleya_organelle_alignment_pipeline/results/05_analysis_masks/cpdna_duplicate_ir_copy_mask.bed	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-297.depth.tsv
DU-297	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_population_sites	cpDNA	variant_calling_and_population_genetics	chloroplast	1	124538	2568419167	20623.578081	124538	1.000000	124538	1.000000	124538	1.000000	dudleya_organelle_alignment_pipeline/results/05_analysis_masks/cpdna_population_sites.bed	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-297.depth.tsv
DU-297	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mtdna_permissive_coverage	mtDNA	sample_qc_coverage	mitochondria	1	243359	227096084	933.173147	243359	1.000000	243359	1.000000	243358	0.999996	dudleya_organelle_alignment_pipeline/results/05_analysis_masks/mtdna_permissive_coverage_regions.bed	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-297.depth.tsv
DU-297	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			mtdna_high_confidence_unique	mtDNA	variant_calling_and_population_genetics	mitochondria	2	44930	68389611	1522.136902	44930	1.000000	44930	1.000000	44930	1.000000	dudleya_organelle_alignment_pipeline/results/05_analysis_masks/mtdna_high_confidence_unique_regions.bed	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-297.depth.tsv
DU-443	QB3.Berkeley.241122/QB3.Dudleya.Results.250118			cpdna_full_coverage	cpDNA	sample_qc_coverage	chloroplast	1	150274	2794873672	18598.517854	150274	1.000000	150274	1.000000	150274	1.000000	dudleya_organelle_alignment_pipeline/results/05_analysis_masks/cpdna_full_coverage_regions.bed	dudleya_organelle_alignment_pipeline/results/06_all_sample_alignment/qc/DU-443.depth.tsv
