population_1	population_2	chloroplast_hudson_fst	mitochondria_hudson_fst	global_spearman_rho	eligible_common_pair_count	finite_common_pair_count	nonfinite_common_pair_count	used_for_correlation
BAI	DAN	0.919596569934	0.970760233918	0.795572083926	561	557	4	yes
BAI	DOV	0.905383696753	0.947916666667	0.795572083926	561	557	4	yes
BAI	DUD	0.891427639777	0.877344877345	0.795572083926	561	557	4	yes
BAI	KIRN	0.91779570339	0.947916666667	0.795572083926	561	557	4	yes
BAI	KIRT	0.928187679959	0.947916666667	0.795572083926	561	557	4	yes
BAI	MALV	0.922665470523	0.954954954955	0.795572083926	561	557	4	yes
BAI	OCO	0.968837472508	0.95950255102	0.795572083926	561	557	4	yes
BAI	QUI1	0.93131823176	0.895897753041	0.795572083926	561	557	4	yes
BAI	QUI2	0.930375445302	0.967948717949	0.795572083926	561	557	4	yes
BAI	QUIN	0.930305027323	0.967948717949	0.795572083926	561	557	4	yes
BAI	RIC	0.924286051907	0.919191919192	0.795572083926	561	557	4	yes
BAI	RSV	0.921030050796	0.924334140436	0.795572083926	561	557	4	yes
BAI	SILG	0.870308672512	0.82884097035	0.795572083926	561	557	4	yes
BAI	SILR	0.89727548974	0.967948717949	0.795572083926	561	557	4	yes
BAI	STI	0.902626867698	0.891573542736	0.795572083926	561	557	4	yes
BAI	TIL	0.873281423601	0.830241512076	0.795572083926	561	557	4	yes
BAI	TULP	0.891907803431	0.876893939394	0.795572083926	561	557	4	yes
COM	CROB	0.973772654459	0.940343781598	0.795572083926	561	557	4	yes
COM	CROS	0.875529468716	0.830434782609	0.795572083926	561	557	4	yes
COM	CY_ALA	0.992445537597	0.984375	0.795572083926	561	557	4	yes
COM	CY_BAL	0.995359295761	0.992647058824	0.795572083926	561	557	4	yes
COM	CY_BGL	0.960086042065	0.947368421053	0.795572083926	561	557	4	yes
COM	CY_BOU	0.993060038735	0.980198019802	0.795572083926	561	557	4	yes
COM	CY_CAS	0.561630576689	0.615470852018	0.795572083926	561	557	4	yes
COM	CY_HICN	0.996992171051	0.969337799536	0.795572083926	561	557	4	yes
COM	CY_HICS	0.990939044481	0.980198019802	0.795572083926	561	557	4	yes
COM	CY_HUN	0.997510910788	0.994186046512	0.795572083926	561	557	4	yes
COM	CY_SIE	0.709665525415	0.712871287129	0.795572083926	561	557	4	yes
