sample_id	organelle	best_k	species	popcode	population_name	plot_group	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7	cluster_8
COM_LP_274_Du-709	mtDNA	8	D. setchellii	COM	Communication Hill	D. setchellii_COM	0.00001000	0.00001000	0.11847700	0.00001000	0.88146300	0.00001000	0.00001000	0.00001000
COM_LP_276_Du-711	mtDNA	8	D. setchellii	COM	Communication Hill	D. setchellii_COM	0.00001000	0.00001000	0.13270300	0.00001000	0.86723700	0.00001000	0.00001000	0.00001000
COM_LP_277_Du-712	mtDNA	8	D. setchellii	COM	Communication Hill	D. setchellii_COM	0.00001000	0.00001000	0.11847700	0.00001000	0.88146300	0.00001000	0.00001000	0.00001000
COM_LP_341_Du-713	mtDNA	8	D. setchellii	COM	Communication Hill	D. setchellii_COM	0.00001000	0.00001000	0.13270300	0.00001000	0.86723700	0.00001000	0.00001000	0.00001000
COM_LP_342_Du-714	mtDNA	8	D. setchellii	COM	Communication Hill	D. setchellii_COM	0.00001000	0.00001000	0.13270300	0.00001000	0.86723700	0.00001000	0.00001000	0.00001000
COM_LP_343_Du-715	mtDNA	8	D. setchellii	COM	Communication Hill	D. setchellii_COM	0.00001000	0.00001000	0.11847700	0.00001000	0.88146300	0.00001000	0.00001000	0.00001000
CROB_LP_169_Du-381	mtDNA	8	D. setchellii	CROB	Crosp Bench	D. setchellii_CROB	0.00001000	0.00001000	0.32633700	0.00001000	0.67360300	0.00001000	0.00001000	0.00001000
CROB_LP_170_Du-382	mtDNA	8	D. setchellii	CROB	Crosp Bench	D. setchellii_CROB	0.00001000	0.00001000	0.32633700	0.00001000	0.67360300	0.00001000	0.00001000	0.00001000
CROB_LP_172_Du-384	mtDNA	8	D. setchellii	CROB	Crosp Bench	D. setchellii_CROB	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000
CROB_LP_173_Du-385	mtDNA	8	D. setchellii	CROB	Crosp Bench	D. setchellii_CROB	0.00001000	0.00001000	0.32633700	0.00001000	0.67360300	0.00001000	0.00001000	0.00001000
CROB_LP_174_Du-386	mtDNA	8	D. setchellii	CROB	Crosp Bench	D. setchellii_CROB	0.00001000	0.00001000	0.32633700	0.00001000	0.67360300	0.00001000	0.00001000	0.00001000
CROB_LP_175_Du-387	mtDNA	8	D. setchellii	CROB	Crosp Bench	D. setchellii_CROB	0.00001000	0.00001000	0.32633700	0.00001000	0.67360300	0.00001000	0.00001000	0.00001000
CROB_LP_176_Du-388	mtDNA	8	D. setchellii	CROB	Crosp Bench	D. setchellii_CROB	0.00001000	0.00001000	0.32633700	0.00001000	0.67360300	0.00001000	0.00001000	0.00001000
CROB_LP_177_Du-389	mtDNA	8	D. setchellii	CROB	Crosp Bench	D. setchellii_CROB	0.00001000	0.00001000	0.32633700	0.00001000	0.67360300	0.00001000	0.00001000	0.00001000
CROB_LP_320_Du-395	mtDNA	8	D. setchellii	CROB	Crosp Bench	D. setchellii_CROB	0.00001000	0.00001000	0.32633700	0.00001000	0.67360300	0.00001000	0.00001000	0.00001000
CROB_LP_321_Du-396	mtDNA	8	D. setchellii	CROB	Crosp Bench	D. setchellii_CROB	0.00001000	0.00001000	0.32633700	0.00001000	0.67360300	0.00001000	0.00001000	0.00001000
CROS_LP_085_Du-181	mtDNA	8	D. setchellii	CROS	Crosp South End	D. setchellii_CROS	0.00001000	0.00001000	0.32331900	0.00001000	0.67662100	0.00001000	0.00001000	0.00001000
CROS_LP_086_Du-182	mtDNA	8	D. setchellii	CROS	Crosp South End	D. setchellii_CROS	0.00001000	0.00001000	0.32331900	0.00001000	0.67662100	0.00001000	0.00001000	0.00001000
CROS_LP_087_Du-183	mtDNA	8	D. setchellii	CROS	Crosp South End	D. setchellii_CROS	0.00001000	0.00001000	0.32331900	0.00001000	0.67662100	0.00001000	0.00001000	0.00001000
CROS_LP_088_Du-184	mtDNA	8	D. setchellii	CROS	Crosp South End	D. setchellii_CROS	0.00001000	0.00001000	0.32331900	0.00001000	0.67662100	0.00001000	0.00001000	0.00001000
