organelle	population_1	population_2	n_population_1	n_population_2	numerator	denominator	callable_sites_with_at_least_two_calls_per_population	hudson_fst
mitochondria	CY_BGL	TULP	2	17	26.1617647059	28.0294117647	43162	0.933368310598
mitochondria	CY_BOU	CY_CAS	5	5	1.6	9	43172	0.177777777778
mitochondria	CY_BOU	CY_HICN	5	3	35	36	43170	0.972222222222
mitochondria	CY_BOU	CY_HICS	5	4	0	0	43171	nan
mitochondria	CY_BOU	CY_HUN	5	4	29	29	43161	1
mitochondria	CY_BOU	CY_SIE	5	3	12.6666666667	26.1666666667	43172	0.484076433121
mitochondria	CY_BOU	CY_WOO	5	4	1	1	43162	1
mitochondria	CY_BOU	DAN	5	5	10	10	42985	1
mitochondria	CY_BOU	DOV	5	7	5	5	43172	1
mitochondria	CY_BOU	DUD	5	8	4	4.375	43172	0.914285714286
mitochondria	CY_BOU	KIRN	5	9	5	5	43172	1
mitochondria	CY_BOU	KIRT	5	10	5	5	43172	1
mitochondria	CY_BOU	MALV	5	10	6	6	43172	1
mitochondria	CY_BOU	OCO	5	10	30.3666666667	31.4444444444	43163	0.965724381625
mitochondria	CY_BOU	QUI1	5	8	2.10714285714	2.375	43172	0.887218045113
mitochondria	CY_BOU	QUI2	5	10	7	7	43028	1
mitochondria	CY_BOU	QUIN	5	9	7	7	43028	1
mitochondria	CY_BOU	RIC	5	9	5	5	43172	1
mitochondria	CY_BOU	RSV	5	8	6.03571428571	6.375	43158	0.946778711485
mitochondria	CY_BOU	SILG	5	9	5.8253968254	6.94444444444	43164	0.838857142857
mitochondria	CY_BOU	SILR	5	6	9	9	43171	1
mitochondria	CY_BOU	STI	5	16	5.71904761905	6.45416666667	43157	0.88610163239
mitochondria	CY_BOU	TIL	5	8	5.40476190476	6.80357142857	43157	0.794400699913
mitochondria	CY_BOU	TULP	5	17	4.16176470588	4.52941176471	43172	0.918831168831
mitochondria	CY_CAS	CY_HICN	5	3	25	33.4	43170	0.748502994012
mitochondria	CY_CAS	CY_HICS	5	4	1.6	9	43171	0.177777777778
mitochondria	CY_CAS	CY_HUN	5	4	24.2	31.6	43161	0.76582278481
mitochondria	CY_CAS	CY_SIE	5	3	6.53333333333	27.4333333333	43172	0.23815309842
mitochondria	CY_CAS	CY_WOO	5	4	2.6	10	43162	0.26
mitochondria	CY_CAS	DAN	5	5	10.8	18.2	42985	0.593406593407
mitochondria	CY_CAS	DOV	5	7	6.6	14	43172	0.471428571429
mitochondria	CY_CAS	DUD	5	8	5.6	13.375	43172	0.418691588785
mitochondria	CY_CAS	KIRN	5	9	6.6	14	43172	0.471428571429
mitochondria	CY_CAS	KIRT	5	10	6.6	14	43172	0.471428571429
mitochondria	CY_CAS	MALV	5	10	7.6	15	43172	0.506666666667
mitochondria	CY_CAS	OCO	5	10	25.5666666667	34.0444444444	43163	0.750979112272
mitochondria	CY_CAS	QUI1	5	8	3.70714285714	11.375	43172	0.32590266876
mitochondria	CY_CAS	QUI2	5	10	8.6	16	43028	0.5375
mitochondria	CY_CAS	QUIN	5	9	8.6	16	43028	0.5375
mitochondria	CY_CAS	RIC	5	9	6.6	14	43172	0.471428571429
mitochondria	CY_CAS	RSV	5	8	7.63571428571	15.375	43158	0.496631823461
mitochondria	CY_CAS	SILG	5	9	7.4253968254	15.9444444444	43164	0.465704330513
mitochondria	CY_CAS	SILR	5	6	9.8	17.2	43171	0.56976744186
mitochondria	CY_CAS	STI	5	16	7.26571428571	15.4008333333	43157	0.471774100041
mitochondria	CY_CAS	TIL	5	8	7.00476190476	15.8035714286	43157	0.443239171375
mitochondria	CY_CAS	TULP	5	17	5.76176470588	13.5294117647	43172	0.425869565217
mitochondria	CY_HICN	CY_HICS	3	4	35	36	43169	0.972222222222
mitochondria	CY_HICN	CY_HUN	3	4	34	35	43160	0.971428571429
mitochondria	CY_HICN	CY_SIE	3	3	-0.666666666667	13	43171	-0.0512820512821
mitochondria	CY_HICN	CY_WOO	3	4	36	37	43160	0.972972972973
mitochondria	CY_HICN	DAN	3	5	39	40	42984	0.975
mitochondria	CY_HICN	DOV	3	7	40	41	43171	0.975609756098
mitochondria	CY_HICN	DUD	3	8	39	40.375	43171	0.965944272446
mitochondria	CY_HICN	KIRN	3	9	40	41	43171	0.975609756098
mitochondria	CY_HICN	KIRT	3	10	40	41	43171	0.975609756098
mitochondria	CY_HICN	MALV	3	10	41	42	43171	0.97619047619
mitochondria	CY_HICN	OCO	3	10	35.3666666667	37.4444444444	43162	0.944510385757
mitochondria	CY_HICN	QUI1	3	8	37.1071428571	38.375	43171	0.966961377385
mitochondria	CY_HICN	QUI2	3	10	42	43	43027	0.976744186047
mitochondria	CY_HICN	QUIN	3	9	42	43	43027	0.976744186047
mitochondria	CY_HICN	RIC	3	9	40	41	43171	0.975609756098
mitochondria	CY_HICN	RSV	3	8	41.0357142857	42.375	43157	0.968394437421
mitochondria	CY_HICN	SILG	3	9	40.8253968254	42.9444444444	43163	0.950656070967
mitochondria	CY_HICN	SILR	3	6	39	40	43170	0.975
mitochondria	CY_HICN	STI	3	16	40.1857142857	41.9208333333	43156	0.95860962415
mitochondria	CY_HICN	TIL	3	8	39.8333333333	42.2321428571	43156	0.943199436223
mitochondria	CY_HICN	TULP	3	17	39.1617647059	40.5294117647	43171	0.966255442671
mitochondria	CY_HICS	CY_HUN	4	4	29	29	43161	1
mitochondria	CY_HICS	CY_SIE	4	3	12.6666666667	26.1666666667	43172	0.484076433121
mitochondria	CY_HICS	CY_WOO	4	4	1	1	43162	1
mitochondria	CY_HICS	DAN	4	5	10	10	42985	1
mitochondria	CY_HICS	DOV	4	7	5	5	43172	1
mitochondria	CY_HICS	DUD	4	8	4	4.375	43172	0.914285714286
mitochondria	CY_HICS	KIRN	4	9	5	5	43172	1
mitochondria	CY_HICS	KIRT	4	10	5	5	43172	1
mitochondria	CY_HICS	MALV	4	10	6	6	43172	1
mitochondria	CY_HICS	OCO	4	10	30.3666666667	31.4444444444	43163	0.965724381625
mitochondria	CY_HICS	QUI1	4	8	2.10714285714	2.375	43172	0.887218045113
mitochondria	CY_HICS	QUI2	4	10	7	7	43027	1
mitochondria	CY_HICS	QUIN	4	9	7	7	43027	1
mitochondria	CY_HICS	RIC	4	9	5	5	43172	1
mitochondria	CY_HICS	RSV	4	8	6.03571428571	6.375	43158	0.946778711485
mitochondria	CY_HICS	SILG	4	9	5.8253968254	6.94444444444	43164	0.838857142857
mitochondria	CY_HICS	SILR	4	6	9	9	43171	1
mitochondria	CY_HICS	STI	4	16	5.71904761905	6.45416666667	43157	0.88610163239
mitochondria	CY_HICS	TIL	4	8	5.40476190476	6.80357142857	43157	0.794400699913
mitochondria	CY_HICS	TULP	4	17	4.16176470588	4.52941176471	43172	0.918831168831
mitochondria	CY_HUN	CY_SIE	4	3	21.6666666667	35.1666666667	43164	0.616113744076
mitochondria	CY_HUN	CY_WOO	4	4	30	30	43153	1
mitochondria	CY_HUN	DAN	4	5	37	37	42980	1
mitochondria	CY_HUN	DOV	4	7	34	34	43167	1
mitochondria	CY_HUN	DUD	4	8	32.25	32.625	43167	0.988505747126
mitochondria	CY_HUN	KIRN	4	9	32	32	43167	1
mitochondria	CY_HUN	KIRT	4	10	32	32	43167	1
mitochondria	CY_HUN	MALV	4	10	33	33	43167	1
mitochondria	CY_HUN	OCO	4	10	5.58888888889	6.66666666667	43167	0.838333333333
mitochondria	CY_HUN	QUI1	4	8	31.1071428571	31.375	43163	0.991462720546
mitochondria	CY_HUN	QUI2	4	10	36	36	43022	1
mitochondria	CY_HUN	QUIN	4	9	36	36	43023	1
mitochondria	CY_HUN	RIC	4	9	32	32	43167	1
mitochondria	CY_HUN	RSV	4	8	35.0357142857	35.375	43153	0.990408884402
mitochondria	CY_HUN	SILG	4	9	34.8253968254	35.9444444444	43160	0.968867299625
mitochondria	CY_HUN	SILR	4	6	36	36	43166	1
mitochondria	CY_HUN	STI	4	16	34.719047619	35.4541666667	43152	0.979265651495
mitochondria	CY_HUN	TIL	4	8	34.4047619048	35.8035714286	43152	0.960931005819
mitochondria	CY_HUN	TULP	4	17	33.1617647059	33.5294117647	43167	0.989035087719
mitochondria	CY_SIE	CY_WOO	3	4	13.6666666667	27.1666666667	43165	0.503067484663
mitochondria	CY_SIE	DAN	3	5	18.6666666667	32.1666666667	42990	0.580310880829
mitochondria	CY_SIE	DOV	3	7	17.6666666667	31.1666666667	43177	0.566844919786
mitochondria	CY_SIE	DUD	3	8	16.6666666667	30.5416666667	43177	0.545702592087
