sample_id	step	command
CY_BGL_LP_210_Du-577	depth	samtools depth -aa -q 20 -Q 0 /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CY_BGL_LP_210_Du-577.organelle.sorted.bam
ABMU_HOR_LP_306_Du-775	align_filter_sort	bwa mem -t 16 dudleya_organelle_reference_verification/references/dudleya_cp_mt.fa genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_306_Du-775_S290_L005_R1_001.fastq.gz genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_306_Du-775_S290_L005_R2_001.fastq.gz | samtools view -@ 16 -b -F 4 -q 0 - | samtools sort -@ 16 -o /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/ABMU_HOR_LP_306_Du-775.organelle.sorted.tmp.bam -
ABMU_HOR_LP_306_Du-775	index	samtools index /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/ABMU_HOR_LP_306_Du-775.organelle.sorted.bam
ABMU_HOR_LP_306_Du-775	flagstat	samtools flagstat /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/ABMU_HOR_LP_306_Du-775.organelle.sorted.bam
ABMU_HOR_LP_306_Du-775	idxstats	samtools idxstats /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/ABMU_HOR_LP_306_Du-775.organelle.sorted.bam
ABMU_HOR_LP_306_Du-775	depth	samtools depth -aa -q 20 -Q 0 /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/ABMU_HOR_LP_306_Du-775.organelle.sorted.bam
CROB_LP_169_Du-381	align_filter_sort	bwa mem -t 16 dudleya_organelle_reference_verification/references/dudleya_cp_mt.fa genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_169_Du-381_S178_L005_R1_001.fastq.gz genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_169_Du-381_S178_L005_R2_001.fastq.gz | samtools view -@ 16 -b -F 4 -q 0 - | samtools sort -@ 16 -o /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CROB_LP_169_Du-381.organelle.sorted.tmp.bam -
CROB_LP_169_Du-381	index	samtools index /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CROB_LP_169_Du-381.organelle.sorted.bam
CROB_LP_169_Du-381	flagstat	samtools flagstat /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CROB_LP_169_Du-381.organelle.sorted.bam
CROB_LP_169_Du-381	idxstats	samtools idxstats /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CROB_LP_169_Du-381.organelle.sorted.bam
CROB_LP_169_Du-381	depth	samtools depth -aa -q 20 -Q 0 /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CROB_LP_169_Du-381.organelle.sorted.bam
CY_BOU_LP_288_Du-737	align_filter_sort	bwa mem -t 16 dudleya_organelle_reference_verification/references/dudleya_cp_mt.fa genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CY_BOU/CY_BOU_LP_288_Du-737_S268_L005_R1_001.fastq.gz genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CY_BOU/CY_BOU_LP_288_Du-737_S268_L005_R2_001.fastq.gz | samtools view -@ 16 -b -F 4 -q 0 - | samtools sort -@ 16 -o /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CY_BOU_LP_288_Du-737.organelle.sorted.tmp.bam -
CY_BOU_LP_288_Du-737	index	samtools index /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CY_BOU_LP_288_Du-737.organelle.sorted.bam
CY_BOU_LP_288_Du-737	flagstat	samtools flagstat /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CY_BOU_LP_288_Du-737.organelle.sorted.bam
CY_BOU_LP_288_Du-737	idxstats	samtools idxstats /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CY_BOU_LP_288_Du-737.organelle.sorted.bam
CY_BOU_LP_288_Du-737	depth	samtools depth -aa -q 20 -Q 0 /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CY_BOU_LP_288_Du-737.organelle.sorted.bam
CROS_LP_085_Du-181	align_filter_sort	bwa mem -t 16 dudleya_organelle_reference_verification/references/dudleya_cp_mt.fa genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROS/CROS_LP_085_Du-181_S76_L005_R1_001.fastq.gz genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROS/CROS_LP_085_Du-181_S76_L005_R2_001.fastq.gz | samtools view -@ 16 -b -F 4 -q 0 - | samtools sort -@ 16 -o /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CROS_LP_085_Du-181.organelle.sorted.tmp.bam -
CROS_LP_085_Du-181	index	samtools index /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CROS_LP_085_Du-181.organelle.sorted.bam
CROS_LP_085_Du-181	flagstat	samtools flagstat /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CROS_LP_085_Du-181.organelle.sorted.bam
CROS_LP_085_Du-181	idxstats	samtools idxstats /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CROS_LP_085_Du-181.organelle.sorted.bam
CROS_LP_085_Du-181	depth	samtools depth -aa -q 20 -Q 0 /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CROS_LP_085_Du-181.organelle.sorted.bam
CY_CAS_LP_328_Du-610	align_filter_sort	bwa mem -t 16 dudleya_organelle_reference_verification/references/dudleya_cp_mt.fa genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CY_CAS/CY_CAS_LP_328_Du-610_S234_L005_R1_001.fastq.gz genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CY_CAS/CY_CAS_LP_328_Du-610_S234_L005_R2_001.fastq.gz | samtools view -@ 16 -b -F 4 -q 0 - | samtools sort -@ 16 -o /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CY_CAS_LP_328_Du-610.organelle.sorted.tmp.bam -
CY_CAS_LP_328_Du-610	index	samtools index /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CY_CAS_LP_328_Du-610.organelle.sorted.bam
CY_CAS_LP_328_Du-610	flagstat	samtools flagstat /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CY_CAS_LP_328_Du-610.organelle.sorted.bam
CY_CAS_LP_328_Du-610	idxstats	samtools idxstats /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CY_CAS_LP_328_Du-610.organelle.sorted.bam
CY_CAS_LP_328_Du-610	depth	samtools depth -aa -q 20 -Q 0 /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/CY_CAS_LP_328_Du-610.organelle.sorted.bam
DAN_LP_043_Du-68	align_filter_sort	bwa mem -t 16 dudleya_organelle_reference_verification/references/dudleya_cp_mt.fa genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/DAN/DAN_LP_043_Du-68_S50_L005_R1_001.fastq.gz genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/DAN/DAN_LP_043_Du-68_S50_L005_R2_001.fastq.gz | samtools view -@ 16 -b -F 4 -q 0 - | samtools sort -@ 16 -o /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/DAN_LP_043_Du-68.organelle.sorted.tmp.bam -
DAN_LP_043_Du-68	index	samtools index /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/DAN_LP_043_Du-68.organelle.sorted.bam
DAN_LP_043_Du-68	flagstat	samtools flagstat /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/DAN_LP_043_Du-68.organelle.sorted.bam
DAN_LP_043_Du-68	idxstats	samtools idxstats /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/DAN_LP_043_Du-68.organelle.sorted.bam
DAN_LP_043_Du-68	depth	samtools depth -aa -q 20 -Q 0 /home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/02_pilot_alignment/bam/DAN_LP_043_Du-68.organelle.sorted.bam
