organelle	statistic	comparison	canonical	scikit_allel	absolute_difference	match
chloroplast	hudson_callable_sites	ABAB_MAD__TULP	101949	101949	0	yes
chloroplast	hudson_fst	ABAB_MAD__TULP	0.963630701649	0.963630701648988	1.22124532708767e-14	yes
chloroplast	hudson_numerator	ABBE_BERN__ABMU_HOR	532.85	532.85	1.13686837721616e-13	yes
chloroplast	hudson_denominator	ABBE_BERN__ABMU_HOR	550.7	550.7	0	yes
chloroplast	hudson_callable_sites	ABBE_BERN__ABMU_HOR	101900	101900	0	yes
chloroplast	hudson_fst	ABBE_BERN__ABMU_HOR	0.967586707826	0.967586707826403	4.02899935636469e-13	yes
chloroplast	hudson_numerator	ABBE_BERN__BAI	559.924603175	559.924603174603	3.96653376810718e-10	yes
chloroplast	hudson_denominator	ABBE_BERN__BAI	581.916666667	581.916666666667	3.33216121362057e-10	yes
chloroplast	hudson_callable_sites	ABBE_BERN__BAI	101947	101947	0	yes
chloroplast	hudson_fst	ABBE_BERN__BAI	0.962207538035	0.962207538034547	4.53304060954451e-13	yes
chloroplast	hudson_numerator	ABBE_BERN__COM	565.25	565.25	0	yes
chloroplast	hudson_denominator	ABBE_BERN__COM	576.777777778	576.777777777778	2.22257767745759e-10	yes
chloroplast	hudson_callable_sites	ABBE_BERN__COM	101949	101949	0	yes
chloroplast	hudson_fst	ABBE_BERN__COM	0.980013484878	0.980013484877673	3.26960680752109e-13	yes
chloroplast	hudson_numerator	ABBE_BERN__CROB	563.033333333	563.033333333333	3.334434950375e-10	yes
chloroplast	hudson_denominator	ABBE_BERN__CROB	574.491666667	574.491666666667	3.33329808199778e-10	yes
chloroplast	hudson_callable_sites	ABBE_BERN__CROB	101904	101904	0	yes
chloroplast	hudson_fst	ABBE_BERN__CROB	0.980054831083	0.980054831082551	4.48530101948563e-13	yes
chloroplast	hudson_numerator	ABBE_BERN__CROS	557.3	557.3	1.13686837721616e-13	yes
chloroplast	hudson_denominator	ABBE_BERN__CROS	577.866666667	577.866666666667	3.33216121362057e-10	yes
chloroplast	hudson_callable_sites	ABBE_BERN__CROS	101949	101949	0	yes
chloroplast	hudson_fst	ABBE_BERN__CROS	0.964409321643	0.964409321642824	1.76303416310475e-13	yes
chloroplast	hudson_numerator	ABBE_BERN__CY_ALA	517.333333333	517.333333333333	3.33329808199778e-10	yes
chloroplast	hudson_denominator	ABBE_BERN__CY_ALA	527.666666667	527.666666666667	3.33216121362057e-10	yes
chloroplast	hudson_callable_sites	ABBE_BERN__CY_ALA	101752	101752	0	yes
chloroplast	hudson_fst	ABBE_BERN__CY_ALA	0.98041692988	0.980416929879975	2.53130849614536e-14	yes
chloroplast	hudson_numerator	ABBE_BERN__CY_BAL	50.1666666667	50.1666666666667	3.33386651618639e-11	yes
chloroplast	hudson_denominator	ABBE_BERN__CY_BAL	61.6666666667	61.6666666666667	3.33386651618639e-11	yes
chloroplast	hudson_callable_sites	ABBE_BERN__CY_BAL	101680	101680	0	yes
chloroplast	hudson_fst	ABBE_BERN__CY_BAL	0.813513513514	0.813513513513514	4.86499729390744e-13	yes
chloroplast	hudson_numerator	ABBE_BERN__CY_BGL	30.6666666667	30.6666666666667	3.33315597345063e-11	yes
chloroplast	hudson_denominator	ABBE_BERN__CY_BGL	62.6666666667	62.6666666666667	3.33386651618639e-11	yes
chloroplast	hudson_callable_sites	ABBE_BERN__CY_BGL	101875	101875	0	yes
chloroplast	hudson_fst	ABBE_BERN__CY_BGL	0.489361702128	0.48936170212766	3.40394379350073e-13	yes
chloroplast	hudson_numerator	ABBE_BERN__CY_BOU	529.333333333	529.333333333333	3.33329808199778e-10	yes
chloroplast	hudson_denominator	ABBE_BERN__CY_BOU	539.666666667	539.666666666667	3.33216121362057e-10	yes
chloroplast	hudson_callable_sites	ABBE_BERN__CY_BOU	101945	101945	0	yes
chloroplast	hudson_fst	ABBE_BERN__CY_BOU	0.980852378011	0.980852378011118	1.17905685215192e-13	yes
chloroplast	hudson_numerator	ABBE_BERN__CY_CAS	384.833333333	384.833333333335	3.34750893671298e-10	yes
chloroplast	hudson_denominator	ABBE_BERN__CY_CAS	502.166666667	502.166666666668	3.32363470079144e-10	yes
chloroplast	hudson_callable_sites	ABBE_BERN__CY_CAS	101800	101800	0	yes
chloroplast	hudson_fst	ABBE_BERN__CY_CAS	0.766345834716	0.766345834716231	2.30926389122033e-13	yes
chloroplast	hudson_numerator	ABBE_BERN__CY_HICN	451.433333333	451.433333333333	3.33329808199778e-10	yes
chloroplast	hudson_denominator	ABBE_BERN__CY_HICN	462.516666667	462.516666666667	3.33272964780917e-10	yes
chloroplast	hudson_callable_sites	ABBE_BERN__CY_HICN	101617	101617	0	yes
chloroplast	hudson_fst	ABBE_BERN__CY_HICN	0.976036899571	0.976036899571187	1.86517468137026e-13	yes
chloroplast	hudson_numerator	ABBE_BERN__CY_HICS	525.5	525.5	0	yes
chloroplast	hudson_denominator	ABBE_BERN__CY_HICS	536.166666667	536.166666666667	3.33216121362057e-10	yes
chloroplast	hudson_callable_sites	ABBE_BERN__CY_HICS	101939	101939	0	yes
chloroplast	hudson_fst	ABBE_BERN__CY_HICS	0.98010568853	0.980105688529686	3.14082093666457e-13	yes
chloroplast	hudson_numerator	ABBE_BERN__CY_HUN	270.6	270.6	0	yes
chloroplast	hudson_denominator	ABBE_BERN__CY_HUN	281.383333333	281.383333333333	3.33329808199778e-10	yes
chloroplast	hudson_callable_sites	ABBE_BERN__CY_HUN	101722	101722	0	yes
chloroplast	hudson_fst	ABBE_BERN__CY_HUN	0.961677426998	0.961677426997572	4.28324042900385e-13	yes
chloroplast	hudson_numerator	ABBE_BERN__CY_SIE	319.791666667	319.791666666667	3.33386651618639e-10	yes
chloroplast	hudson_denominator	ABBE_BERN__CY_SIE	482.041666667	482.041666666667	3.33329808199778e-10	yes
chloroplast	hudson_callable_sites	ABBE_BERN__CY_SIE	101933	101933	0	yes
