sample_id	repeat_mask_mean_depth	unique_sites_mean_depth	repeat_to_unique_mean_depth_ratio	interpretation
CY_BOU_LP_288_Du-737	0.07464184	13.38059479	0.00557836	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_BOU_LP_290_Du-739	0.37412083	79.86023656	0.00468469	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_BOU_LP_291_Du-740	0.27015396	52.48351344	0.00514741	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_BOU_LP_292_Du-741	0.25505345	48.69222260	0.00523807	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_BOU_LP_354_Du-742	0.47720154	96.48753404	0.00494573	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_CAS_LP_328_Du-610	0.20513265	68.87778676	0.00297821	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_CAS_LP_329_Du-611	0.26463323	66.77948434	0.00396279	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_CAS_LP_330_Du-607	0.04768501	15.32794418	0.00311099	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_CAS_LP_331_Du-608	0.06017795	19.26778421	0.00312324	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_CAS_LP_332_Du-609	0.27111652	77.10883254	0.00351602	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_HICN_LP_236_Du-614	0.80096867	142.64554969	0.00561510	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_HICN_LP_333_Du-612	0.11817612	33.37838240	0.00354050	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_HICN_LP_334_Du-613	0.06512827	22.10045099	0.00294692	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_HICN_LP_335_Du-615	0.29547596	86.26267869	0.00342530	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_HICN_LP_336_Du-616	0.26553977	65.82434905	0.00403407	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_HICS_LP_293_Du-757	0.23993257	61.72153676	0.00388734	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_HICS_LP_297_Du-761	0.05307842	13.51176396	0.00392831	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_HICS_LP_355_Du-762	0.41385580	83.37657420	0.00496369	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_HICS_LP_356_Du-763	0.10659482	23.58641082	0.00451933	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_HUN_LP_264_Du-683	0.05970431	11.40559054	0.00523465	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_HUN_LP_266_Du-685	0.08589719	15.37357471	0.00558733	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_HUN_LP_267_Du-686	0.06177203	14.12821222	0.00437225	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_HUN_LP_268_Du-687	0.06378883	10.02633594	0.00636213	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_SIE_LP_188_Du-445	1.24142989	220.07247703	0.00564100	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
CY_SIE_LP_189_Du-446	2.18971638	391.57426396	0.00559208	MAPQ/base-quality-filtered depth diagnostic; repeat coordinates remain excluded from inference
