sample_id	species_group	species	popcode	population_name	naming_profile
BAI_LP_112_Du-230	D. setchellii	D. setchellii	BAI	Baird Ridgeline	main_standard
BAI_LP_113_Du-231	D. setchellii	D. setchellii	BAI	Baird Ridgeline	main_standard
BAI_LP_114_Du-232	D. setchellii	D. setchellii	BAI	Baird Ridgeline	main_standard
BAI_LP_319_Du-233	D. setchellii	D. setchellii	BAI	Baird Ridgeline	main_standard
COM_LP_269_Du-703	D. setchellii	D. setchellii	COM	Communication Hill	main_standard
COM_LP_270_Du-704	D. setchellii	D. setchellii	COM	Communication Hill	main_standard
COM_LP_272_Du-707	D. setchellii	D. setchellii	COM	Communication Hill	main_standard
COM_LP_274_Du-709	D. setchellii	D. setchellii	COM	Communication Hill	main_standard
COM_LP_276_Du-711	D. setchellii	D. setchellii	COM	Communication Hill	main_standard
COM_LP_277_Du-712	D. setchellii	D. setchellii	COM	Communication Hill	main_standard
COM_LP_341_Du-713	D. setchellii	D. setchellii	COM	Communication Hill	main_standard
COM_LP_342_Du-714	D. setchellii	D. setchellii	COM	Communication Hill	main_standard
COM_LP_343_Du-715	D. setchellii	D. setchellii	COM	Communication Hill	main_standard
CROB_LP_169_Du-381	D. setchellii	D. setchellii	CROB	Crosp Bench	main_standard
CROB_LP_170_Du-382	D. setchellii	D. setchellii	CROB	Crosp Bench	main_standard
CROB_LP_172_Du-384	D. setchellii	D. setchellii	CROB	Crosp Bench	main_standard
CROB_LP_173_Du-385	D. setchellii	D. setchellii	CROB	Crosp Bench	main_standard
CROB_LP_174_Du-386	D. setchellii	D. setchellii	CROB	Crosp Bench	main_standard
CROB_LP_175_Du-387	D. setchellii	D. setchellii	CROB	Crosp Bench	main_standard
CROB_LP_176_Du-388	D. setchellii	D. setchellii	CROB	Crosp Bench	main_standard
CROB_LP_177_Du-389	D. setchellii	D. setchellii	CROB	Crosp Bench	main_standard
CROB_LP_320_Du-395	D. setchellii	D. setchellii	CROB	Crosp Bench	main_standard
CROB_LP_321_Du-396	D. setchellii	D. setchellii	CROB	Crosp Bench	main_standard
CROS_LP_085_Du-181	D. setchellii	D. setchellii	CROS	Crosp South End	main_standard
CROS_LP_086_Du-182	D. setchellii	D. setchellii	CROS	Crosp South End	main_standard
CROS_LP_087_Du-183	D. setchellii	D. setchellii	CROS	Crosp South End	main_standard
CROS_LP_088_Du-184	D. setchellii	D. setchellii	CROS	Crosp South End	main_standard
CROS_LP_089_Du-185	D. setchellii	D. setchellii	CROS	Crosp South End	main_standard
CROS_LP_090_Du-186	D. setchellii	D. setchellii	CROS	Crosp South End	main_standard
CROS_LP_091_Du-187	D. setchellii	D. setchellii	CROS	Crosp South End	main_standard
CROS_LP_092_Du-188	D. setchellii	D. setchellii	CROS	Crosp South End	main_standard
CROS_LP_093_Du-189	D. setchellii	D. setchellii	CROS	Crosp South End	main_standard
CROS_LP_094_Du-190	D. setchellii	D. setchellii	CROS	Crosp South End	main_standard
CY_ALA_LP_298-Du-767	D. cymosa	D. cymosa	CY_ALA	Los Alanitos Dam	main_standard
CY_ALA_LP_299-Du-768	D. cymosa	D. cymosa	CY_ALA	Los Alanitos Dam	main_standard
CY_ALA_LP_357_Du-769	D. cymosa	D. cymosa	CY_ALA	Los Alanitos Dam	main_standard
CY_BAL_LP_226_Du-602	D. cymosa	D. cymosa	CY_BAL	Baldwin Lake	main_standard
CY_BAL_LP_227_Du-603	D. cymosa	D. cymosa	CY_BAL	Baldwin Lake	main_standard
CY_BAL_LP_228_Du-604	D. cymosa	D. cymosa	CY_BAL	Baldwin Lake	main_standard
CY_BGL_LP_210_Du-577	D. cymosa	D. cymosa	CY_BGL	Below Green Lake	main_standard
CY_BGL_LP_212_Du-579	D. cymosa	D. cymosa	CY_BGL	Below Green Lake	main_standard
CY_BOU_LP_288_Du-737	D. cymosa	D. cymosa	CY_BOU	Boulder Ridge	main_standard
CY_BOU_LP_290_Du-739	D. cymosa	D. cymosa	CY_BOU	Boulder Ridge	main_standard
CY_BOU_LP_291_Du-740	D. cymosa	D. cymosa	CY_BOU	Boulder Ridge	main_standard
CY_BOU_LP_292_Du-741	D. cymosa	D. cymosa	CY_BOU	Boulder Ridge	main_standard
CY_BOU_LP_354_Du-742	D. cymosa	D. cymosa	CY_BOU	Boulder Ridge	main_standard
CY_CAS_LP_328_Du-610	D. cymosa	D. cymosa	CY_CAS	Castle Rock Falls	main_standard
CY_CAS_LP_329_Du-611	D. cymosa	D. cymosa	CY_CAS	Castle Rock Falls	main_standard
CY_CAS_LP_330_Du-607	D. cymosa	D. cymosa	CY_CAS	Castle Rock Falls	main_standard
CY_CAS_LP_331_Du-608	D. cymosa	D. cymosa	CY_CAS	Castle Rock Falls	main_standard
CY_CAS_LP_332_Du-609	D. cymosa	D. cymosa	CY_CAS	Castle Rock Falls	main_standard
CY_HICN_LP_236_Du-614	D. cymosa	D. cymosa	CY_HICN	Hick's Road North	main_standard
CY_HICN_LP_333_Du-612	D. cymosa	D. cymosa	CY_HICN	Hick's Road North	main_standard
CY_HICN_LP_334_Du-613	D. cymosa	D. cymosa	CY_HICN	Hick's Road North	main_standard
CY_HICN_LP_335_Du-615	D. cymosa	D. cymosa	CY_HICN	Hick's Road North	main_standard
CY_HICN_LP_336_Du-616	D. cymosa	D. cymosa	CY_HICN	Hick's Road North	main_standard
CY_HICS_LP_293_Du-757	D. cymosa	D. cymosa	CY_HICS	Hicks Rd. South	main_standard
CY_HICS_LP_295_Du-759	D. cymosa	D. cymosa	CY_HICS	Hicks Rd. South	main_standard
CY_HICS_LP_297_Du-761	D. cymosa	D. cymosa	CY_HICS	Hicks Rd. South	main_standard
CY_HICS_LP_355_Du-762	D. cymosa	D. cymosa	CY_HICS	Hicks Rd. South	main_standard
CY_HICS_LP_356_Du-763	D. cymosa	D. cymosa	CY_HICS	Hicks Rd. South	main_standard
CY_HUN_LP_264_Du-683	D. cymosa	D. cymosa	CY_HUN	Hunting Hollow	main_standard
CY_HUN_LP_266_Du-685	D. cymosa	D. cymosa	CY_HUN	Hunting Hollow	main_standard
CY_HUN_LP_267_Du-686	D. cymosa	D. cymosa	CY_HUN	Hunting Hollow	main_standard
CY_HUN_LP_268_Du-687	D. cymosa	D. cymosa	CY_HUN	Hunting Hollow	main_standard
CY_SIE_LP_188_Du-445	D. cymosa	D. cymosa	CY_SIE	Sierra Azule	main_standard
CY_SIE_LP_189_Du-446	D. cymosa	D. cymosa	CY_SIE	Sierra Azule	main_standard
CY_SIE_LP_190_Du-447	D. cymosa	D. cymosa	CY_SIE	Sierra Azule	main_standard
CY_SIE_LP_191_Du-448	D. cymosa	D. cymosa	CY_SIE	Sierra Azule	main_standard
CY_WOO_LP_259_Du-664	D. cymosa	D. cymosa	CY_WOO	Hicks & Woods Rd.	main_standard
CY_WOO_LP_260_Du-665	D. cymosa	D. cymosa	CY_WOO	Hicks & Woods Rd.	main_standard
CY_WOO_LP_261_Du-667	D. cymosa	D. cymosa	CY_WOO	Hicks & Woods Rd.	main_standard
CY_WOO_LP_262_Du-668	D. cymosa	D. cymosa	CY_WOO	Hicks & Woods Rd.	main_standard
CY_WOO_LP_263_Du-669	D. cymosa	D. cymosa	CY_WOO	Hicks & Woods Rd.	main_standard
DAN_LP_043_Du-68	D. setchellii	D. setchellii	DAN	Dana Rock	main_standard
DAN_LP_044_Du-69	D. setchellii	D. setchellii	DAN	Dana Rock	main_standard
DAN_LP_045_Du-70	D. setchellii	D. setchellii	DAN	Dana Rock	main_standard
DAN_LP_046_Du-71	D. setchellii	D. setchellii	DAN	Dana Rock	main_standard
DAN_LP_047_Du-72	D. setchellii	D. setchellii	DAN	Dana Rock	main_standard
DOV_LP_078_Du-174	D. setchellii	D. setchellii	DOV	Dove Road	main_standard
DOV_LP_079_Du-175	D. setchellii	D. setchellii	DOV	Dove Road	main_standard
DOV_LP_080_Du-176	D. setchellii	D. setchellii	DOV	Dove Road	main_standard
DOV_LP_081_Du-177	D. setchellii	D. setchellii	DOV	Dove Road	main_standard
DOV_LP_082_Du-178	D. setchellii	D. setchellii	DOV	Dove Road	main_standard
DOV_LP_083_Du-179	D. setchellii	D. setchellii	DOV	Dove Road	main_standard
DOV_LP_084_Du-180	D. setchellii	D. setchellii	DOV	Dove Road	main_standard
DUD_LP_132_Du-283	D. setchellii	D. setchellii	DUD	Dude Rock	main_standard
DUD_LP_133_Du-284	D. setchellii	D. setchellii	DUD	Dude Rock	main_standard
DUD_LP_134_Du-285	D. setchellii	D. setchellii	DUD	Dude Rock	main_standard
DUD_LP_135_Du-286	D. setchellii	D. setchellii	DUD	Dude Rock	main_standard
DUD_LP_136_Du-287	D. setchellii	D. setchellii	DUD	Dude Rock	main_standard
DUD_LP_137_Du-288	D. setchellii	D. setchellii	DUD	Dude Rock	main_standard
DUD_LP_138_Du-289	D. setchellii	D. setchellii	DUD	Dude Rock	main_standard
DUD_LP_139_Du-290	D. setchellii	D. setchellii	DUD	Dude Rock	main_standard
KIRN_LP_179_Du-421	D. setchellii	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard
KIRN_LP_180_Du-422	D. setchellii	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard
KIRN_LP_181_Du-423	D. setchellii	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard
KIRN_LP_182_Du-424	D. setchellii	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard
KIRN_LP_183_Du-425	D. setchellii	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard
KIRN_LP_184_Du-426	D. setchellii	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard
KIRN_LP_185_Du-427	D. setchellii	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard
KIRN_LP_186_Du-428	D. setchellii	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard
KIRN_LP_187_Du-429	D. setchellii	D. setchellii	KIRN	Kirby N. Rd. Canyon	main_standard
KIRT_LP_159_Du-364	D. setchellii	D. setchellii	KIRT	KC Transect	main_standard
KIRT_LP_160_Du-365	D. setchellii	D. setchellii	KIRT	KC Transect	main_standard
KIRT_LP_161_Du-366	D. setchellii	D. setchellii	KIRT	KC Transect	main_standard
KIRT_LP_162_Du-367	D. setchellii	D. setchellii	KIRT	KC Transect	main_standard
KIRT_LP_163_Du-368	D. setchellii	D. setchellii	KIRT	KC Transect	main_standard
KIRT_LP_164_Du-369	D. setchellii	D. setchellii	KIRT	KC Transect	main_standard
KIRT_LP_165_Du-370	D. setchellii	D. setchellii	KIRT	KC Transect	main_standard
KIRT_LP_166_Du-371	D. setchellii	D. setchellii	KIRT	KC Transect	main_standard
KIRT_LP_167_Du-372	D. setchellii	D. setchellii	KIRT	KC Transect	main_standard
KIRT_LP_168_Du-373	D. setchellii	D. setchellii	KIRT	KC Transect	main_standard
MALV_LP_095_Du-201	D. setchellii	D. setchellii	MALV	Malech Vista	main_standard
MALV_LP_096_Du-202	D. setchellii	D. setchellii	MALV	Malech Vista	main_standard
MALV_LP_097_Du-203	D. setchellii	D. setchellii	MALV	Malech Vista	main_standard
MALV_LP_098_Du-204	D. setchellii	D. setchellii	MALV	Malech Vista	main_standard
MALV_LP_099_Du-205	D. setchellii	D. setchellii	MALV	Malech Vista	main_standard
MALV_LP_100_Du-206	D. setchellii	D. setchellii	MALV	Malech Vista	main_standard
MALV_LP_101_Du-207	D. setchellii	D. setchellii	MALV	Malech Vista	main_standard
MALV_LP_102_Du-208	D. setchellii	D. setchellii	MALV	Malech Vista	main_standard
MALV_LP_103_Du-209	D. setchellii	D. setchellii	MALV	Malech Vista	main_standard
MALV_LP_104_Du-210	D. setchellii	D. setchellii	MALV	Malech Vista	main_standard
OCO_LP_058_Du-115	D. setchellii	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard
OCO_LP_059_Du-106	D. setchellii	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard
OCO_LP_060_Du-107	D. setchellii	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard
OCO_LP_061_Du-108	D. setchellii	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard
OCO_LP_062_Du-109	D. setchellii	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard
OCO_LP_063_Du-110	D. setchellii	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard
OCO_LP_064_Du-111	D. setchellii	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard
OCO_LP_065_Du-112	D. setchellii	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard
OCO_LP_066_Du-113	D. setchellii	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard
OCO_LP_067_Du-114	D. setchellii	D. setchellii	OCO	O'Connell Ranch Pacheco Pass	main_standard
QUI1_LP_249_Du-648	D. setchellii	D. setchellii	QUI1	Quicklsilver SE Mine Hill Tr. #1	main_standard
QUI1_LP_250_Du-649	D. setchellii	D. setchellii	QUI1	Quicklsilver SE Mine Hill Tr. #1	main_standard
QUI1_LP_251_Du-650	D. setchellii	D. setchellii	QUI1	Quicklsilver SE Mine Hill Tr. #1	main_standard
QUI1_LP_252_Du-651	D. setchellii	D. setchellii	QUI1	Quicklsilver SE Mine Hill Tr. #1	main_standard
QUI1_LP_253_Du-652	D. setchellii	D. setchellii	QUI1	Quicklsilver SE Mine Hill Tr. #1	main_standard
QUI1_LP_254_Du-653	D. setchellii	D. setchellii	QUI1	Quicklsilver SE Mine Hill Tr. #1	main_standard
QUI1_LP_255_Du-654	D. setchellii	D. setchellii	QUI1	Quicklsilver SE Mine Hill Tr. #1	main_standard
QUI1_LP_257_Du-656	D. setchellii	D. setchellii	QUI1	Quicklsilver SE Mine Hill Tr. #1	main_standard
QUI1_LP_258_Du-657	D. setchellii	D. setchellii	QUI1	Quicklsilver SE Mine Hill Tr. #1	main_standard
QUI2_LP_243_Du-631	D. setchellii	D. setchellii	QUI2	Quicklsilver SE Mine Hill Tr. #2	main_standard
QUI2_LP_244_Du-632	D. setchellii	D. setchellii	QUI2	Quicklsilver SE Mine Hill Tr. #2	main_standard
QUI2_LP_245_Du-633	D. setchellii	D. setchellii	QUI2	Quicklsilver SE Mine Hill Tr. #2	main_standard
QUI2_LP_246_Du-634	D. setchellii	D. setchellii	QUI2	Quicklsilver SE Mine Hill Tr. #2	main_standard
QUI2_LP_247_Du-635	D. setchellii	D. setchellii	QUI2	Quicklsilver SE Mine Hill Tr. #2	main_standard
QUI2_LP_248_Du-636	D. setchellii	D. setchellii	QUI2	Quicklsilver SE Mine Hill Tr. #2	main_standard
QUI2_LP_337_Du-638	D. setchellii	D. setchellii	QUI2	Quicklsilver SE Mine Hill Tr. #2	main_standard
QUI2_LP_338_Du-639	D. setchellii	D. setchellii	QUI2	Quicklsilver SE Mine Hill Tr. #2	main_standard
QUI2_LP_339_Du-640	D. setchellii	D. setchellii	QUI2	Quicklsilver SE Mine Hill Tr. #2	main_standard
QUI2_LP_340_Du-641	D. setchellii	D. setchellii	QUI2	Quicklsilver SE Mine Hill Tr. #2	main_standard
QUIN_LP_069_Du-155	D. setchellii	D. setchellii	QUIN	Quicksilver NE	main_standard
QUIN_LP_070_Du-156	D. setchellii	D. setchellii	QUIN	Quicksilver NE	main_standard
QUIN_LP_071_Du-157	D. setchellii	D. setchellii	QUIN	Quicksilver NE	main_standard
QUIN_LP_072_Du-158	D. setchellii	D. setchellii	QUIN	Quicksilver NE	main_standard
QUIN_LP_073_Du-159	D. setchellii	D. setchellii	QUIN	Quicksilver NE	main_standard
QUIN_LP_074_Du-160	D. setchellii	D. setchellii	QUIN	Quicksilver NE	main_standard
QUIN_LP_075_Du-161	D. setchellii	D. setchellii	QUIN	Quicksilver NE	main_standard
QUIN_LP_076_Du-162	D. setchellii	D. setchellii	QUIN	Quicksilver NE	main_standard
QUIN_LP_077_Du-163	D. setchellii	D. setchellii	QUIN	Quicksilver NE	main_standard
QUIN_LP_318_Du-164	D. setchellii	D. setchellii	QUIN	Quicksilver NE	main_standard
RIC_LP_192_Du-521	D. setchellii	D. setchellii	RIC	Richmond Ranch	main_standard
RIC_LP_193_Du-522	D. setchellii	D. setchellii	RIC	Richmond Ranch	main_standard
RIC_LP_194_Du-523	D. setchellii	D. setchellii	RIC	Richmond Ranch	main_standard
RIC_LP_195_Du-524	D. setchellii	D. setchellii	RIC	Richmond Ranch	main_standard
RIC_LP_196_Du-525	D. setchellii	D. setchellii	RIC	Richmond Ranch	main_standard
RIC_LP_197_Du-526	D. setchellii	D. setchellii	RIC	Richmond Ranch	main_standard
RIC_LP_198_Du-527	D. setchellii	D. setchellii	RIC	Richmond Ranch	main_standard
RIC_LP_199_Du-528	D. setchellii	D. setchellii	RIC	Richmond Ranch	main_standard
RIC_LP_200_Du-529	D. setchellii	D. setchellii	RIC	Richmond Ranch	main_standard
RIC_LP_201_Du-530	D. setchellii	D. setchellii	RIC	Richmond Ranch	main_standard
RSV_LP_049_Du-85	D. setchellii	D. setchellii	RSV	Rancho San Vicente	main_standard
RSV_LP_050_Du-87	D. setchellii	D. setchellii	RSV	Rancho San Vicente	main_standard
RSV_LP_051_Du-88	D. setchellii	D. setchellii	RSV	Rancho San Vicente	main_standard
RSV_LP_052_Du-89	D. setchellii	D. setchellii	RSV	Rancho San Vicente	main_standard
RSV_LP_053_Du-90	D. setchellii	D. setchellii	RSV	Rancho San Vicente	main_standard
RSV_LP_055_Du-92	D. setchellii	D. setchellii	RSV	Rancho San Vicente	main_standard
RSV_LP_057_Du-94	D. setchellii	D. setchellii	RSV	Rancho San Vicente	main_standard
RSV_LP_315_Du-95	D. setchellii	D. setchellii	RSV	Rancho San Vicente	main_standard
RSV_LP_316_Du-96	D. setchellii	D. setchellii	RSV	Rancho San Vicente	main_standard
SILG_LP_149_Du-343	D. setchellii	D. setchellii	SILG	Silver Creek Golf	main_standard
SILG_LP_150_Du-344	D. setchellii	D. setchellii	SILG	Silver Creek Golf	main_standard
SILG_LP_151_Du-345	D. setchellii	D. setchellii	SILG	Silver Creek Golf	main_standard
SILG_LP_152_Du-346	D. setchellii	D. setchellii	SILG	Silver Creek Golf	main_standard
SILG_LP_153_Du-347	D. setchellii	D. setchellii	SILG	Silver Creek Golf	main_standard
SILG_LP_154_Du-348	D. setchellii	D. setchellii	SILG	Silver Creek Golf	main_standard
SILG_LP_155_Du-349	D. setchellii	D. setchellii	SILG	Silver Creek Golf	main_standard
SILG_LP_156_Du-350	D. setchellii	D. setchellii	SILG	Silver Creek Golf	main_standard
SILG_LP_157_Du-351	D. setchellii	D. setchellii	SILG	Silver Creek Golf	main_standard
SILG_LP_158_Du-352	D. setchellii	D. setchellii	SILG	Silver Creek Golf	main_standard
SILR_LP_346_Du-729	D. setchellii	D. setchellii	SILR	Silver Creek Valley Rd. + Razorback + water tower	main_standard
SILR_LP_347_Du-730	D. setchellii	D. setchellii	SILR	Silver Creek Valley Rd. + Razorback + water tower	main_standard
SILR_LP_348_Du-731	D. setchellii	D. setchellii	SILR	Silver Creek Valley Rd. + Razorback + water tower	main_standard
SILR_LP_349_Du-732	D. setchellii	D. setchellii	SILR	Silver Creek Valley Rd. + Razorback + water tower	main_standard
SILR_LP_351_Du-734	D. setchellii	D. setchellii	SILR	Silver Creek Valley Rd. + Razorback + water tower	main_standard
SILR_LP_353_Du-736	D. setchellii	D. setchellii	SILR	Silver Creek Valley Rd. + Razorback + water tower	main_standard
STI_LP_027_Du-45	D. setchellii	D. setchellii	STI	Stiles Ranch	main_standard
STI_LP_028_Du-46	D. setchellii	D. setchellii	STI	Stiles Ranch	main_standard
STI_LP_029_Du-47	D. setchellii	D. setchellii	STI	Stiles Ranch	main_standard
STI_LP_030_Du-48	D. setchellii	D. setchellii	STI	Stiles Ranch	main_standard
STI_LP_031_Du-49	D. setchellii	D. setchellii	STI	Stiles Ranch	main_standard
STI_LP_032_Du-50	D. setchellii	D. setchellii	STI	Stiles Ranch	main_standard
STI_LP_033_Du-51	D. setchellii	D. setchellii	STI	Stiles Ranch	main_standard
STI_LP_034_Du-52	D. setchellii	D. setchellii	STI	Stiles Ranch	main_standard
STI_LP_035_Du-53	D. setchellii	D. setchellii	STI	Stiles Ranch	main_standard
STI_LP_036_Du-54	D. setchellii	D. setchellii	STI	Stiles Ranch	main_standard
STI_LP_037_Du-55	D. setchellii	D. setchellii	STI	Stiles Ranch	main_standard
STI_LP_038_Du-56	D. setchellii	D. setchellii	STI	Stiles Ranch	main_standard
STI_LP_039_Du-57	D. setchellii	D. setchellii	STI	Stiles Ranch	main_standard
STI_LP_040_Du-58	D. setchellii	D. setchellii	STI	Stiles Ranch	main_standard
STI_LP_041_Du-60	D. setchellii	D. setchellii	STI	Stiles Ranch	main_standard
STI_LP_042_Du-61	D. setchellii	D. setchellii	STI	Stiles Ranch	main_standard
TIL_LP_123_Du-263	D. setchellii	D. setchellii	TIL	Tilton Ranch Road	main_standard
TIL_LP_124_Du-264	D. setchellii	D. setchellii	TIL	Tilton Ranch Road	main_standard
TIL_LP_125_Du-265	D. setchellii	D. setchellii	TIL	Tilton Ranch Road	main_standard
TIL_LP_126_Du-266	D. setchellii	D. setchellii	TIL	Tilton Ranch Road	main_standard
TIL_LP_127_Du-267	D. setchellii	D. setchellii	TIL	Tilton Ranch Road	main_standard
TIL_LP_128_Du-268	D. setchellii	D. setchellii	TIL	Tilton Ranch Road	main_standard
TIL_LP_129_Du-269	D. setchellii	D. setchellii	TIL	Tilton Ranch Road	main_standard
TIL_LP_130_Du-271	D. setchellii	D. setchellii	TIL	Tilton Ranch Road	main_standard
TIL_LP_131_Du-272	D. setchellii	D. setchellii	TIL	Tilton Ranch Road	main_standard
TULP_LP_115_Du-242	D. setchellii	D. setchellii	TULP	Tulare Hill NW Parks	main_standard
TULP_LP_116_Du-243	D. setchellii	D. setchellii	TULP	Tulare Hill NW Parks	main_standard
TULP_LP_117_Du-244	D. setchellii	D. setchellii	TULP	Tulare Hill NW Parks	main_standard
TULP_LP_118_Du-245	D. setchellii	D. setchellii	TULP	Tulare Hill NW Parks	main_standard
TULP_LP_119_Du-246	D. setchellii	D. setchellii	TULP	Tulare Hill NW Parks	main_standard
TULP_LP_120_Du-248	D. setchellii	D. setchellii	TULP	Tulare Hill NW Parks	main_standard
TULP_LP_121_Du-249	D. setchellii	D. setchellii	TULP	Tulare Hill NW Parks	main_standard
TULP_LP_122_Du-250	D. setchellii	D. setchellii	TULP	Tulare Hill NW Parks	main_standard
TULP_LP_140_Du-302	D. setchellii	D. setchellii	TULP	Tulare Hill NW Parks	main_standard
TULP_LP_141_Du-303	D. setchellii	D. setchellii	TULP	Tulare Hill NW Parks	main_standard
TULP_LP_142_Du-304	D. setchellii	D. setchellii	TULP	Tulare Hill NW Parks	main_standard
TULP_LP_143_Du-305	D. setchellii	D. setchellii	TULP	Tulare Hill NW Parks	main_standard
TULP_LP_144_Du-306	D. setchellii	D. setchellii	TULP	Tulare Hill NW Parks	main_standard
TULP_LP_145_Du-307	D. setchellii	D. setchellii	TULP	Tulare Hill NW Parks	main_standard
TULP_LP_146_Du-308	D. setchellii	D. setchellii	TULP	Tulare Hill NW Parks	main_standard
TULP_LP_147_Du-309	D. setchellii	D. setchellii	TULP	Tulare Hill NW Parks	main_standard
TULP_LP_148_Du-310	D. setchellii	D. setchellii	TULP	Tulare Hill NW Parks	main_standard
