sample_id	organelle	pc1	pc2	species	popcode	population_name	naming_profile	plot_group
CROS_LP_091_Du-187	cpDNA	4.00577787	4.79787765	D. setchellii	CROS	Crosp South End	main_standard	D. setchellii_CROS
CROS_LP_092_Du-188	cpDNA	4.01221378	4.81709314	D. setchellii	CROS	Crosp South End	main_standard	D. setchellii_CROS
CROS_LP_093_Du-189	cpDNA	4.01949920	4.79670422	D. setchellii	CROS	Crosp South End	main_standard	D. setchellii_CROS
CROS_LP_094_Du-190	cpDNA	4.01159938	4.81525123	D. setchellii	CROS	Crosp South End	main_standard	D. setchellii_CROS
CY_ALA_LP_298-Du-767	cpDNA	0.93756830	-2.21082881	D. cymosa	CY_ALA	Los Alanitos Dam	main_standard	D. cymosa_CY_ALA
CY_ALA_LP_299-Du-768	cpDNA	0.93591035	-2.20044649	D. cymosa	CY_ALA	Los Alanitos Dam	main_standard	D. cymosa_CY_ALA
CY_ALA_LP_357_Du-769	cpDNA	0.93935664	-2.22214181	D. cymosa	CY_ALA	Los Alanitos Dam	main_standard	D. cymosa_CY_ALA
CY_BAL_LP_226_Du-602	cpDNA	-16.54720144	1.34404365	D. cymosa	CY_BAL	Baldwin Lake	main_standard	D. cymosa_CY_BAL
CY_BAL_LP_227_Du-603	cpDNA	-16.45783042	1.32578933	D. cymosa	CY_BAL	Baldwin Lake	main_standard	D. cymosa_CY_BAL
CY_BAL_LP_228_Du-604	cpDNA	-16.60099537	1.36878274	D. cymosa	CY_BAL	Baldwin Lake	main_standard	D. cymosa_CY_BAL
CY_BGL_LP_210_Du-577	cpDNA	-16.44307085	1.34133504	D. cymosa	CY_BGL	Below Green Lake	main_standard	D. cymosa_CY_BGL
CY_BGL_LP_212_Du-579	cpDNA	-16.39222072	1.32857675	D. cymosa	CY_BGL	Below Green Lake	main_standard	D. cymosa_CY_BGL
CY_BOU_LP_288_Du-737	cpDNA	0.89616483	-2.28481388	D. cymosa	CY_BOU	Boulder Ridge	main_standard	D. cymosa_CY_BOU
CY_BOU_LP_290_Du-739	cpDNA	0.89990965	-2.30139339	D. cymosa	CY_BOU	Boulder Ridge	main_standard	D. cymosa_CY_BOU
CY_BOU_LP_291_Du-740	cpDNA	0.89990965	-2.30139339	D. cymosa	CY_BOU	Boulder Ridge	main_standard	D. cymosa_CY_BOU
CY_BOU_LP_292_Du-741	cpDNA	0.89616483	-2.28481388	D. cymosa	CY_BOU	Boulder Ridge	main_standard	D. cymosa_CY_BOU
CY_BOU_LP_354_Du-742	cpDNA	0.90904197	-2.30714467	D. cymosa	CY_BOU	Boulder Ridge	main_standard	D. cymosa_CY_BOU
CY_CAS_LP_328_Du-610	cpDNA	-13.91817923	0.50388420	D. cymosa	CY_CAS	Castle Rock Falls	main_standard	D. cymosa_CY_CAS
CY_CAS_LP_329_Du-611	cpDNA	0.93291313	-2.22644928	D. cymosa	CY_CAS	Castle Rock Falls	main_standard	D. cymosa_CY_CAS
CY_CAS_LP_330_Du-607	cpDNA	0.88448144	-2.22125828	D. cymosa	CY_CAS	Castle Rock Falls	main_standard	D. cymosa_CY_CAS
CY_CAS_LP_331_Du-608	cpDNA	0.82904345	-2.21809311	D. cymosa	CY_CAS	Castle Rock Falls	main_standard	D. cymosa_CY_CAS
CY_CAS_LP_332_Du-609	cpDNA	0.85942496	-2.17882501	D. cymosa	CY_CAS	Castle Rock Falls	main_standard	D. cymosa_CY_CAS
CY_HICN_LP_236_Du-614	cpDNA	-15.29572885	0.57915443	D. cymosa	CY_HICN	Hick's Road North	main_standard	D. cymosa_CY_HICN
CY_HICN_LP_333_Du-612	cpDNA	-15.24795187	0.57014773	D. cymosa	CY_HICN	Hick's Road North	main_standard	D. cymosa_CY_HICN
CY_HICN_LP_334_Du-613	cpDNA	-15.19957881	0.56954765	D. cymosa	CY_HICN	Hick's Road North	main_standard	D. cymosa_CY_HICN
CY_HICN_LP_335_Du-615	cpDNA	-15.35719541	0.58546726	D. cymosa	CY_HICN	Hick's Road North	main_standard	D. cymosa_CY_HICN
CY_HICN_LP_336_Du-616	cpDNA	-15.30602924	0.58077712	D. cymosa	CY_HICN	Hick's Road North	main_standard	D. cymosa_CY_HICN
CY_HICS_LP_293_Du-757	cpDNA	0.89605687	-2.24132718	D. cymosa	CY_HICS	Hicks Rd. South	main_standard	D. cymosa_CY_HICS
CY_HICS_LP_295_Du-759	cpDNA	0.90650819	-2.30854199	D. cymosa	CY_HICS	Hicks Rd. South	main_standard	D. cymosa_CY_HICS
CY_HICS_LP_297_Du-761	cpDNA	0.89578490	-2.27774065	D. cymosa	CY_HICS	Hicks Rd. South	main_standard	D. cymosa_CY_HICS
CY_HICS_LP_355_Du-762	cpDNA	0.89774137	-2.28300717	D. cymosa	CY_HICS	Hicks Rd. South	main_standard	D. cymosa_CY_HICS
CY_HICS_LP_356_Du-763	cpDNA	0.90114450	-2.27349794	D. cymosa	CY_HICS	Hicks Rd. South	main_standard	D. cymosa_CY_HICS
CY_HUN_LP_264_Du-683	cpDNA	-18.81270258	2.14060319	D. cymosa	CY_HUN	Hunting Hollow	main_standard	D. cymosa_CY_HUN
