sample_id	organelle	pc1	pc2	species	popcode	population_name	naming_profile	plot_group
COM_LP_276_Du-711	mtDNA	-0.71285596	-1.17611572	D. setchellii	COM	Communication Hill	main_standard	D. setchellii_COM
COM_LP_277_Du-712	mtDNA	-0.69296761	-1.18836748	D. setchellii	COM	Communication Hill	main_standard	D. setchellii_COM
COM_LP_341_Du-713	mtDNA	-0.71285596	-1.17611572	D. setchellii	COM	Communication Hill	main_standard	D. setchellii_COM
COM_LP_342_Du-714	mtDNA	-0.71285596	-1.17611572	D. setchellii	COM	Communication Hill	main_standard	D. setchellii_COM
COM_LP_343_Du-715	mtDNA	-0.69296761	-1.18836748	D. setchellii	COM	Communication Hill	main_standard	D. setchellii_COM
CROB_LP_169_Du-381	mtDNA	-0.76726670	-1.34256809	D. setchellii	CROB	Crosp Bench	main_standard	D. setchellii_CROB
CROB_LP_170_Du-382	mtDNA	-0.76726670	-1.34256809	D. setchellii	CROB	Crosp Bench	main_standard	D. setchellii_CROB
CROB_LP_172_Du-384	mtDNA	-0.93218065	-1.18795023	D. setchellii	CROB	Crosp Bench	main_standard	D. setchellii_CROB
CROB_LP_173_Du-385	mtDNA	-0.76726670	-1.34256809	D. setchellii	CROB	Crosp Bench	main_standard	D. setchellii_CROB
CROB_LP_174_Du-386	mtDNA	-0.76726670	-1.34256809	D. setchellii	CROB	Crosp Bench	main_standard	D. setchellii_CROB
CROB_LP_175_Du-387	mtDNA	-0.76726670	-1.34256809	D. setchellii	CROB	Crosp Bench	main_standard	D. setchellii_CROB
CROB_LP_176_Du-388	mtDNA	-0.76726670	-1.34256809	D. setchellii	CROB	Crosp Bench	main_standard	D. setchellii_CROB
CROB_LP_177_Du-389	mtDNA	-0.76726670	-1.34256809	D. setchellii	CROB	Crosp Bench	main_standard	D. setchellii_CROB
CROB_LP_320_Du-395	mtDNA	-0.76726670	-1.34256809	D. setchellii	CROB	Crosp Bench	main_standard	D. setchellii_CROB
CROB_LP_321_Du-396	mtDNA	-0.76726670	-1.34256809	D. setchellii	CROB	Crosp Bench	main_standard	D. setchellii_CROB
CROS_LP_085_Du-181	mtDNA	-0.76434801	-1.32990210	D. setchellii	CROS	Crosp South End	main_standard	D. setchellii_CROS
CROS_LP_086_Du-182	mtDNA	-0.76434801	-1.32990210	D. setchellii	CROS	Crosp South End	main_standard	D. setchellii_CROS
CROS_LP_087_Du-183	mtDNA	-0.76434801	-1.32990210	D. setchellii	CROS	Crosp South End	main_standard	D. setchellii_CROS
CROS_LP_088_Du-184	mtDNA	-0.76434801	-1.32990210	D. setchellii	CROS	Crosp South End	main_standard	D. setchellii_CROS
CROS_LP_089_Du-185	mtDNA	-0.75857676	-1.30527379	D. setchellii	CROS	Crosp South End	main_standard	D. setchellii_CROS
CROS_LP_090_Du-186	mtDNA	-0.76434801	-1.32990210	D. setchellii	CROS	Crosp South End	main_standard	D. setchellii_CROS
CROS_LP_091_Du-187	mtDNA	-0.95443690	-0.93405342	D. setchellii	CROS	Crosp South End	main_standard	D. setchellii_CROS
CROS_LP_092_Du-188	mtDNA	-0.95805485	-0.94288859	D. setchellii	CROS	Crosp South End	main_standard	D. setchellii_CROS
CROS_LP_093_Du-189	mtDNA	-0.91927676	-1.14761778	D. setchellii	CROS	Crosp South End	main_standard	D. setchellii_CROS
CROS_LP_094_Du-190	mtDNA	-0.95443690	-0.93405342	D. setchellii	CROS	Crosp South End	main_standard	D. setchellii_CROS
CY_ALA_LP_298-Du-767	mtDNA	-0.28506670	0.58596214	D. cymosa	CY_ALA	Los Alanitos Dam	main_standard	D. cymosa_CY_ALA
CY_ALA_LP_299-Du-768	mtDNA	-0.28506670	0.58596214	D. cymosa	CY_ALA	Los Alanitos Dam	main_standard	D. cymosa_CY_ALA
CY_ALA_LP_357_Du-769	mtDNA	-0.28506670	0.58596214	D. cymosa	CY_ALA	Los Alanitos Dam	main_standard	D. cymosa_CY_ALA
CY_BAL_LP_226_Du-602	mtDNA	4.08349651	0.04448898	D. cymosa	CY_BAL	Baldwin Lake	main_standard	D. cymosa_CY_BAL
CY_BAL_LP_227_Du-603	mtDNA	4.08827887	0.04611518	D. cymosa	CY_BAL	Baldwin Lake	main_standard	D. cymosa_CY_BAL
CY_BAL_LP_228_Du-604	mtDNA	4.03418070	0.03392027	D. cymosa	CY_BAL	Baldwin Lake	main_standard	D. cymosa_CY_BAL
CY_BGL_LP_210_Du-577	mtDNA	3.96623803	0.06481089	D. cymosa	CY_BGL	Below Green Lake	main_standard	D. cymosa_CY_BGL
CY_BGL_LP_212_Du-579	mtDNA	3.91186919	0.04038854	D. cymosa	CY_BGL	Below Green Lake	main_standard	D. cymosa_CY_BGL
CY_BOU_LP_288_Du-737	mtDNA	-0.28070259	0.56244843	D. cymosa	CY_BOU	Boulder Ridge	main_standard	D. cymosa_CY_BOU
CY_BOU_LP_290_Du-739	mtDNA	-0.28070259	0.56244843	D. cymosa	CY_BOU	Boulder Ridge	main_standard	D. cymosa_CY_BOU
CY_BOU_LP_291_Du-740	mtDNA	-0.28070259	0.56244843	D. cymosa	CY_BOU	Boulder Ridge	main_standard	D. cymosa_CY_BOU
CY_BOU_LP_292_Du-741	mtDNA	-0.28070259	0.56244843	D. cymosa	CY_BOU	Boulder Ridge	main_standard	D. cymosa_CY_BOU
CY_BOU_LP_354_Du-742	mtDNA	-0.28070259	0.56244843	D. cymosa	CY_BOU	Boulder Ridge	main_standard	D. cymosa_CY_BOU
