sample_id	batch	species	popcode	organelle	reference_length	input_read_records	mapped_reads	mean_depth	total_depth	bases_ge_1x	breadth_ge_1x	bases_ge_5x	breadth_ge_5x	bases_ge_10x	breadth_ge_10x	bam_path	idxstats_path	depth_path
DU059LP015	QB3.Berkeley.250811/QB3.250916.Results5genomes			chloroplast	150274	81365676	10359806	9083.989186	1365087391	150274	1.000000	150274	1.000000	150274	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/DU059LP015.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU059LP015.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU059LP015.depth.tsv
DU059LP015	QB3.Berkeley.250811/QB3.250916.Results5genomes			mitochondria	243359	81365676	1699880	975.155416	237312847	243229	0.999466	243203	0.999359	243191	0.999310	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/DU059LP015.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU059LP015.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU059LP015.depth.tsv
DU078LP011	QB3.Berkeley.250811/QB3.250916.Results5genomes			chloroplast	150274	97284144	17339097	14578.908354	2190830874	150274	1.000000	150274	1.000000	150274	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/DU078LP011.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU078LP011.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU078LP011.depth.tsv
DU078LP011	QB3.Berkeley.250811/QB3.250916.Results5genomes			mitochondria	243359	97284144	2684205	1477.275046	359508178	243223	0.999441	243174	0.999240	243172	0.999232	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/DU078LP011.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU078LP011.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU078LP011.depth.tsv
DU079LP010	QB3.Berkeley.250811/QB3.250916.Results5genomes			chloroplast	150274	136596296	16425043	13825.174834	2077564323	150274	1.000000	150274	1.000000	150274	1.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/DU079LP010.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU079LP010.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU079LP010.depth.tsv
DU079LP010	QB3.Berkeley.250811/QB3.250916.Results5genomes			mitochondria	243359	136596296	3020780	1653.596292	402417540	243254	0.999569	243241	0.999515	243240	0.999511	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/DU079LP010.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU079LP010.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/DU079LP010.depth.tsv
ABAB_MAD_LP_222_Du-589	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. abramsii	ABAB_MAD	chloroplast	150274	5378	283	0.211846	31835	20147	0.134068	74	0.000492	0	0.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_222_Du-589.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/ABAB_MAD_LP_222_Du-589.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/ABAB_MAD_LP_222_Du-589.depth.tsv
ABAB_MAD_LP_222_Du-589	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. abramsii	ABAB_MAD	mitochondria	243359	5378	22	0.010511	2558	1976	0.008120	0	0.000000	0	0.000000	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_222_Du-589.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/ABAB_MAD_LP_222_Du-589.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/ABAB_MAD_LP_222_Du-589.depth.tsv
ABAB_MAD_LP_223_Du-590	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. abramsii	ABAB_MAD	chloroplast	150274	1107924	172130	128.358698	19288975	150254	0.999867	150191	0.999448	150125	0.999008	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_223_Du-590.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/ABAB_MAD_LP_223_Du-590.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/ABAB_MAD_LP_223_Du-590.depth.tsv
ABAB_MAD_LP_223_Du-590	QB3.Berkeley.251217/QB3.Results.260109	D. abramsii ssp. abramsii	ABAB_MAD	mitochondria	243359	1107924	20184	9.638587	2345637	241949	0.994206	207051	0.850805	103654	0.425930	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/bam/ABAB_MAD_LP_223_Du-590.organelle.sorted.bam	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/ABAB_MAD_LP_223_Du-590.idxstats.tsv	/home/neil/Downloads/dudleya/Dudleya_S_genomes/full_pipeline_run/results/06_all_sample_alignment/qc/ABAB_MAD_LP_223_Du-590.depth.tsv
