sample_1	sample_2	mash_distance	p_value	shared_hashes	calibrated_candidate	interpretation
ABAB_MAD_LP_323_Du-594	RSV_LP_315_Du-95	0.0652758	0	7077/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	RSV_LP_316_Du-96	0.0662723	0	6847/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	SILG_LP_149_Du-343	0.0794683	0	4446/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	SILG_LP_150_Du-344	0.0705197	0	5952/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	SILG_LP_151_Du-345	0.068348	0	6393/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	SILG_LP_152_Du-346	0.0689713	0	6263/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	SILG_LP_153_Du-347	0.0717422	0	5718/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	SILG_LP_154_Du-348	0.0628661	0	7668/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	SILG_LP_155_Du-349	0.0739594	0	5318/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	SILG_LP_156_Du-350	0.0729129	0	5503/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	SILG_LP_157_Du-351	0.071817	0	5704/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	SILG_LP_158_Du-352	0.073327	0	5429/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	SILR_LP_346_Du-729	0.0666451	0	6763/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	SILR_LP_347_Du-730	0.0688311	0	6292/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	SILR_LP_348_Du-731	0.0660964	0	6887/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	SILR_LP_349_Du-732	0.067738	0	6523/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	SILR_LP_351_Du-734	0.0675115	0	6572/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	SILR_LP_353_Du-736	0.0654509	0	7036/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	STI_LP_027_Du-45	0.0673004	0	6618/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	STI_LP_028_Du-46	0.0628427	0	7674/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	STI_LP_029_Du-47	0.0715667	0	5751/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	STI_LP_030_Du-48	0.0625514	0	7749/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	STI_LP_031_Du-49	0.0639414	0	7398/100000	no	not_flagged_negative_screen_not_proof
ABAB_MAD_LP_323_Du-594	STI_LP_032_Du-50	0.0645198	0	7257/100000	no	not_flagged_negative_screen_not_proof
