sample_id	evaluated_site_count	mixed_site_count	mixed_site_fraction	status
RSV_LP_316_Du-96	2426	0	0.0	not_flagged
SILG_LP_149_Du-343	2269	18	0.007933010136624064	suspected
SILG_LP_150_Du-344	2318	0	0.0	not_flagged
SILG_LP_151_Du-345	2383	0	0.0	not_flagged
SILG_LP_152_Du-346	2367	0	0.0	not_flagged
SILG_LP_153_Du-347	2301	0	0.0	not_flagged
SILG_LP_154_Du-348	2413	1	0.0004144218814753419	not_flagged
SILG_LP_155_Du-349	2332	5	0.002144082332761578	not_flagged
SILG_LP_156_Du-350	2384	1	0.00041946308724832214	not_flagged
SILG_LP_157_Du-351	2250	0	0.0	not_flagged
SILG_LP_158_Du-352	2169	4	0.0018441678192715537	not_flagged
SILR_LP_346_Du-729	2429	3	0.0012350761630300535	not_flagged
SILR_LP_347_Du-730	2429	3	0.0012350761630300535	not_flagged
SILR_LP_348_Du-731	2429	3	0.0012350761630300535	not_flagged
SILR_LP_349_Du-732	2429	4	0.0016467682173734047	not_flagged
SILR_LP_351_Du-734	2429	3	0.0012350761630300535	not_flagged
SILR_LP_353_Du-736	2427	3	0.0012360939431396785	not_flagged
STI_LP_027_Du-45	2287	1	0.00043725404459991256	not_flagged
STI_LP_028_Du-46	2421	0	0.0	not_flagged
STI_LP_029_Du-47	2248	4	0.0017793594306049821	not_flagged
STI_LP_030_Du-48	2426	6	0.00247320692497939	not_flagged
STI_LP_031_Du-49	2410	3	0.0012448132780082987	not_flagged
STI_LP_032_Du-50	2424	5	0.0020627062706270625	not_flagged
STI_LP_033_Du-51	2288	5	0.0021853146853146855	not_flagged
STI_LP_034_Du-52	2427	3	0.0012360939431396785	not_flagged
STI_LP_035_Du-53	2427	1	0.00041203131437989287	not_flagged
STI_LP_036_Du-54	2330	5	0.002145922746781116	not_flagged
STI_LP_037_Du-55	2417	2	0.0008274720728175424	not_flagged
STI_LP_038_Du-56	2427	1	0.00041203131437989287	not_flagged
STI_LP_039_Du-57	2412	7	0.002902155887230514	not_flagged
STI_LP_040_Du-58	2265	0	0.0	not_flagged
STI_LP_041_Du-60	2420	6	0.0024793388429752068	not_flagged
STI_LP_042_Du-61	2428	1	0.00041186161449752884	not_flagged
TIL_LP_123_Du-263	2241	1	0.0004462293618920125	not_flagged
TIL_LP_124_Du-264	2427	3	0.0012360939431396785	not_flagged
TIL_LP_125_Du-265	2263	1	0.0004418912947414936	not_flagged
TIL_LP_126_Du-266	2303	1	0.0004342162396873643	not_flagged
TIL_LP_127_Du-267	241	4	0.016597510373443983	not_flagged
TIL_LP_128_Du-268	2427	2	0.0008240626287597857	not_flagged
TIL_LP_129_Du-269	2371	9	0.003795866722901729	not_flagged
TIL_LP_130_Du-271	2418	2	0.0008271298593879239	not_flagged
TIL_LP_131_Du-272	2411	1	0.00041476565740356696	not_flagged
TULP_LP_115_Du-242	2429	1	0.0004116920543433512	not_flagged
TULP_LP_116_Du-243	2430	1	0.00041152263374485596	not_flagged
TULP_LP_117_Du-244	2420	0	0.0	not_flagged
TULP_LP_118_Du-245	2430	1	0.00041152263374485596	not_flagged
TULP_LP_119_Du-246	2430	1	0.00041152263374485596	not_flagged
TULP_LP_120_Du-248	2429	1	0.0004116920543433512	not_flagged
TULP_LP_121_Du-249	2430	4	0.0016460905349794238	not_flagged
TULP_LP_122_Du-250	2430	0	0.0	not_flagged
TULP_LP_140_Du-302	2428	1	0.00041186161449752884	not_flagged
TULP_LP_141_Du-303	2416	0	0.0	not_flagged
TULP_LP_142_Du-304	2279	0	0.0	not_flagged
TULP_LP_143_Du-305	2326	0	0.0	not_flagged
TULP_LP_144_Du-306	2278	0	0.0	not_flagged
TULP_LP_145_Du-307	2346	1	0.00042625745950554135	not_flagged
TULP_LP_146_Du-308	2271	0	0.0	not_flagged
TULP_LP_147_Du-309	2429	1	0.0004116920543433512	not_flagged
TULP_LP_148_Du-310	2329	4	0.0017174753112924003	not_flagged
