sample_id	batch	naming_profile	popcode	species	population_name	du_id	lp_id	sequencing_samples	lanes	r1_paths	r2_paths	r1_count	r2_count	pair_status	metadata_status	analysis_status	analysis_note
ABBE_BERN_LP_311_Du-780	QB3.Berkeley.251217/QB3.Results.260109	main_standard	ABBE_BERN	D. abramsii ssp. bettinae	San Bernardino Creek Road	Du-780	LP_311	S261	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_311_Du-780_S261_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_311_Du-780_S261_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
ABBE_BERN_LP_312_Du-781	QB3.Berkeley.251217/QB3.Results.260109	main_standard	ABBE_BERN	D. abramsii ssp. bettinae	San Bernardino Creek Road	Du-781	LP_312	S271	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_312_Du-781_S271_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_312_Du-781_S271_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
ABBE_BERN_LP_313_Du-782	QB3.Berkeley.251217/QB3.Results.260109	main_standard	ABBE_BERN	D. abramsii ssp. bettinae	San Bernardino Creek Road	Du-782	LP_313	S280	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_313_Du-782_S280_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_313_Du-782_S280_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
ABBE_BERN_LP_314_Du-783	QB3.Berkeley.251217/QB3.Results.260109	main_standard	ABBE_BERN	D. abramsii ssp. bettinae	San Bernardino Creek Road	Du-783	LP_314	S291	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_314_Du-783_S291_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_314_Du-783_S291_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
ABMU_HOR_LP_306_Du-775	QB3.Berkeley.251217/QB3.Results.260109	main_standard	ABMU_HOR	D. abramsii ssp. murina	Horse Canyon (SLO)	Du-775	LP_306	S290	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_306_Du-775_S290_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_306_Du-775_S290_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
ABMU_HOR_LP_308_Du-777	QB3.Berkeley.251217/QB3.Results.260109	main_standard	ABMU_HOR	D. abramsii ssp. murina	Horse Canyon (SLO)	Du-777	LP_308	S232	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_308_Du-777_S232_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_308_Du-777_S232_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
ABMU_HOR_LP_358_Du-770	QB3.Berkeley.251217/QB3.Results.260109	main_standard	ABMU_HOR	D. abramsii ssp. murina	Horse Canyon (SLO)	Du-770	LP_358	S243	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_358_Du-770_S243_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_358_Du-770_S243_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
ABMU_HOR_LP_359_Du-771	QB3.Berkeley.251217/QB3.Results.260109	main_standard	ABMU_HOR	D. abramsii ssp. murina	Horse Canyon (SLO)	Du-771	LP_359	S252	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_359_Du-771_S252_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_359_Du-771_S252_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
ABMU_HOR_LP_360_Du-772	QB3.Berkeley.251217/QB3.Results.260109	main_standard	ABMU_HOR	D. abramsii ssp. murina	Horse Canyon (SLO)	Du-772	LP_360	S260	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_360_Du-772_S260_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_360_Du-772_S260_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
ABMU_HOR_LP_361_Du-773	QB3.Berkeley.251217/QB3.Results.260109	main_standard	ABMU_HOR	D. abramsii ssp. murina	Horse Canyon (SLO)	Du-773	LP_361	S270	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_361_Du-773_S270_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_361_Du-773_S270_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
BAI_LP_105_Du-222	QB3.Berkeley.251217/QB3.Results.260109	main_standard	BAI	D. setchellii	Baird Ridgeline	Du-222	LP_105	S37	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_105_Du-222_S37_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_105_Du-222_S37_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
BAI_LP_106_Du-223	QB3.Berkeley.251217/QB3.Results.260109	main_standard	BAI	D. setchellii	Baird Ridgeline	Du-223	LP_106	S47	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_106_Du-223_S47_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_106_Du-223_S47_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
BAI_LP_108_Du-225	QB3.Berkeley.251217/QB3.Results.260109	main_standard	BAI	D. setchellii	Baird Ridgeline	Du-225	LP_108	S68	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_108_Du-225_S68_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_108_Du-225_S68_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
BAI_LP_109_Du-226	QB3.Berkeley.251217/QB3.Results.260109	main_standard	BAI	D. setchellii	Baird Ridgeline	Du-226	LP_109	S79	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_109_Du-226_S79_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_109_Du-226_S79_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
BAI_LP_110_Du-227	QB3.Berkeley.251217/QB3.Results.260109	main_standard	BAI	D. setchellii	Baird Ridgeline	Du-227	LP_110	S89	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_110_Du-227_S89_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_110_Du-227_S89_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
BAI_LP_111_Du-228	QB3.Berkeley.251217/QB3.Results.260109	main_standard	BAI	D. setchellii	Baird Ridgeline	Du-228	LP_111	S99	L005	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_111_Du-228_S99_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_111_Du-228_S99_L005_R2_001.fastq.gz	1	1	complete	resolved	include_primary_paired_end	Use in the primary paired-end cpDNA/mtDNA alignment workflow.
