source_path	artifact_type	size_bytes	sha256	immutable
source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_324_Du-595_S194_L005_R1_001.fastq.gz	file	254078738	c365d5306f129c7a36321d7ff25a3f9fba5874c64bedd706a521df57d51e0cb4	yes
source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_324_Du-595_S194_L005_R2_001.fastq.gz	file	271309833	f4eb5e4292018adfe93d13c2db7b66d1ce72ea026189809756bda881e1c0e091	yes
source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_325_Du-596_S212_L005_R1_001.fastq.gz	file	330114156	c4388477d67b1c4ff1dbe09c85b036a5bbe388d690c108b078db13ab539f67c1	yes
source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_325_Du-596_S212_L005_R2_001.fastq.gz	file	341753927	220bd4b3a10f8d7a31d80fa3e5437d9a35e02684d4aa8366d91c99f0d9386c0b	yes
source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_326_Du-597_S222_L005_R1_001.fastq.gz	file	291838221	12eb9d7d0de7d02acb9455622114eaa88f6385966b35a7d526609d5e66c51b0b	yes
source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_326_Du-597_S222_L005_R2_001.fastq.gz	file	300233522	8c9c9508d60e604f3a5bb127f52af27275b364e840a5788638523109cb323a34	yes
source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_327_Du-598_S233_L005_R1_001.fastq.gz	file	84686896	a87f6ce93532eb392702cd2585e12ecfa803dfead09af22d4bda6270ea8d629c	yes
source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABAB_MAD/ABAB_MAD_LP_327_Du-598_S233_L005_R2_001.fastq.gz	file	89086293	ca789e53761e9e0b7d75863c0b4f8051f30d092740098f94b222ec450e9f4d5d	yes
source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_311_Du-780_S261_L005_R1_001.fastq.gz	file	373866894	0991d7579e8babfce05de4c9ff243e98039895b7066c3e189d6e938d160d5fa2	yes
source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABBE_BERN/ABBE_BERN_LP_311_Du-780_S261_L005_R2_001.fastq.gz	file	374746207	8b3064ec4e22c26c9c2c6f35dba0925d2f32106a9aff0a8916447de3102a148f	yes
