sample_id	popcode	species	population_name	r1_paths	r2_paths	r1_count	r2_count	pair_status	analysis_eligible	sample_analysis_eligible	population_inference_eligible	population_exclusion_reason
COM_LP_341_Du-713	COM	D. setchellii	Communication Hill	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_341_Du-713_S207_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_341_Du-713_S207_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
COM_LP_342_Du-714	COM	D. setchellii	Communication Hill	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_342_Du-714_S210_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_342_Du-714_S210_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
COM_LP_343_Du-715	COM	D. setchellii	Communication Hill	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_343_Du-715_S205_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_343_Du-715_S205_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
CROB_LP_169_Du-381	CROB	D. setchellii	Crosp Bench	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_169_Du-381_S178_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_169_Du-381_S178_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
CROB_LP_170_Du-382	CROB	D. setchellii	Crosp Bench	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_170_Du-382_S189_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_170_Du-382_S189_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
CROB_LP_172_Du-384	CROB	D. setchellii	Crosp Bench	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_172_Du-384_S127_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_172_Du-384_S127_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
CROB_LP_173_Du-385	CROB	D. setchellii	Crosp Bench	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_173_Du-385_S137_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_173_Du-385_S137_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
CROB_LP_174_Du-386	CROB	D. setchellii	Crosp Bench	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_174_Du-386_S148_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_174_Du-386_S148_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
CROB_LP_175_Du-387	CROB	D. setchellii	Crosp Bench	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_175_Du-387_S158_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_175_Du-387_S158_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
CROB_LP_176_Du-388	CROB	D. setchellii	Crosp Bench	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_176_Du-388_S168_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_176_Du-388_S168_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
CROB_LP_177_Du-389	CROB	D. setchellii	Crosp Bench	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_177_Du-389_S179_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_177_Du-389_S179_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
CROB_LP_320_Du-395	CROB	D. setchellii	Crosp Bench	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_320_Du-395_S110_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_320_Du-395_S110_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
CROB_LP_321_Du-396	CROB	D. setchellii	Crosp Bench	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_321_Du-396_S111_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROB/CROB_LP_321_Du-396_S111_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
CROS_LP_085_Du-181	CROS	D. setchellii	Crosp South End	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROS/CROS_LP_085_Du-181_S76_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROS/CROS_LP_085_Du-181_S76_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
CROS_LP_086_Du-182	CROS	D. setchellii	Crosp South End	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROS/CROS_LP_086_Du-182_S86_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROS/CROS_LP_086_Du-182_S86_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
CROS_LP_087_Du-183	CROS	D. setchellii	Crosp South End	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROS/CROS_LP_087_Du-183_S96_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROS/CROS_LP_087_Du-183_S96_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
CROS_LP_088_Du-184	CROS	D. setchellii	Crosp South End	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROS/CROS_LP_088_Du-184_S106_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROS/CROS_LP_088_Du-184_S106_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
CROS_LP_089_Du-185	CROS	D. setchellii	Crosp South End	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROS/CROS_LP_089_Du-185_S35_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROS/CROS_LP_089_Du-185_S35_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
CROS_LP_090_Du-186	CROS	D. setchellii	Crosp South End	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROS/CROS_LP_090_Du-186_S45_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROS/CROS_LP_090_Du-186_S45_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
CROS_LP_091_Du-187	CROS	D. setchellii	Crosp South End	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROS/CROS_LP_091_Du-187_S56_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROS/CROS_LP_091_Du-187_S56_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
CROS_LP_092_Du-188	CROS	D. setchellii	Crosp South End	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROS/CROS_LP_092_Du-188_S66_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROS/CROS_LP_092_Du-188_S66_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
CROS_LP_093_Du-189	CROS	D. setchellii	Crosp South End	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROS/CROS_LP_093_Du-189_S77_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROS/CROS_LP_093_Du-189_S77_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
CROS_LP_094_Du-190	CROS	D. setchellii	Crosp South End	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROS/CROS_LP_094_Du-190_S87_L005_R1_001.fastq.gz	source_data/raw_reads/genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/CROS/CROS_LP_094_Du-190_S87_L005_R2_001.fastq.gz	1	1	complete	yes	yes	yes	
