sample_id	batch	naming_profile	species	popcode	population_name	du_id	lp_id	r1_paths	r2_paths	downstream_cpDNA_use	downstream_mtDNA_use	include_reason
ABMU_HOR_LP_308_Du-777	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	Du-777	LP_308	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_308_Du-777_S232_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_308_Du-777_S232_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
ABMU_HOR_LP_358_Du-770	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	Du-770	LP_358	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_358_Du-770_S243_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_358_Du-770_S243_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
ABMU_HOR_LP_359_Du-771	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	Du-771	LP_359	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_359_Du-771_S252_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_359_Du-771_S252_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
ABMU_HOR_LP_360_Du-772	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	Du-772	LP_360	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_360_Du-772_S260_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_360_Du-772_S260_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
ABMU_HOR_LP_361_Du-773	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. abramsii ssp. murina	ABMU_HOR	Horse Canyon (SLO)	Du-773	LP_361	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_361_Du-773_S270_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/ABMU_HOR/ABMU_HOR_LP_361_Du-773_S270_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
BAI_LP_105_Du-222	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	BAI	Baird Ridgeline	Du-222	LP_105	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_105_Du-222_S37_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_105_Du-222_S37_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
BAI_LP_106_Du-223	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	BAI	Baird Ridgeline	Du-223	LP_106	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_106_Du-223_S47_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_106_Du-223_S47_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
BAI_LP_108_Du-225	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	BAI	Baird Ridgeline	Du-225	LP_108	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_108_Du-225_S68_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_108_Du-225_S68_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
BAI_LP_109_Du-226	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	BAI	Baird Ridgeline	Du-226	LP_109	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_109_Du-226_S79_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_109_Du-226_S79_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
BAI_LP_110_Du-227	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	BAI	Baird Ridgeline	Du-227	LP_110	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_110_Du-227_S89_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_110_Du-227_S89_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
BAI_LP_111_Du-228	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	BAI	Baird Ridgeline	Du-228	LP_111	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_111_Du-228_S99_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_111_Du-228_S99_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
BAI_LP_112_Du-230	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	BAI	Baird Ridgeline	Du-230	LP_112	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_112_Du-230_S109_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_112_Du-230_S109_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
BAI_LP_113_Du-231	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	BAI	Baird Ridgeline	Du-231	LP_113	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_113_Du-231_S195_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_113_Du-231_S195_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
BAI_LP_114_Du-232	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	BAI	Baird Ridgeline	Du-232	LP_114	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_114_Du-232_S197_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_114_Du-232_S197_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
BAI_LP_319_Du-233	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	BAI	Baird Ridgeline	Du-233	LP_319	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_319_Du-233_S58_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/BAI/BAI_LP_319_Du-233_S58_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
COM_LP_269_Du-703	QB3.Berkeley.251217/QB3.Results.260109	main_standard	D. setchellii	COM	Communication Hill	Du-703	LP_269	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_269_Du-703_S239_L005_R1_001.fastq.gz	genomicsDrive_data_dump/QB3.Berkeley.251217/QB3.Results.260109/COM/COM_LP_269_Du-703_S239_L005_R2_001.fastq.gz	include	include	passes Step 5 downstream QC
