sample_id	popcode	species	population_name
CY_HICS_LP_293_Du-757	CY_HICS	D. cymosa	Hicks Rd. South
CY_HICS_LP_295_Du-759	CY_HICS	D. cymosa	Hicks Rd. South
CY_HICS_LP_297_Du-761	CY_HICS	D. cymosa	Hicks Rd. South
CY_HICS_LP_355_Du-762	CY_HICS	D. cymosa	Hicks Rd. South
CY_HICS_LP_356_Du-763	CY_HICS	D. cymosa	Hicks Rd. South
CY_HUN_LP_264_Du-683	CY_HUN	D. cymosa	Hunting Hollow
CY_HUN_LP_265_Du-684	CY_HUN	D. cymosa	Hunting Hollow
CY_HUN_LP_266_Du-685	CY_HUN	D. cymosa	Hunting Hollow
CY_HUN_LP_267_Du-686	CY_HUN	D. cymosa	Hunting Hollow
CY_HUN_LP_268_Du-687	CY_HUN	D. cymosa	Hunting Hollow
CY_SIE_LP_188_Du-445	CY_SIE	D. cymosa	Sierra Azule
CY_SIE_LP_189_Du-446	CY_SIE	D. cymosa	Sierra Azule
CY_SIE_LP_190_Du-447	CY_SIE	D. cymosa	Sierra Azule
CY_SIE_LP_191_Du-448	CY_SIE	D. cymosa	Sierra Azule
CY_WOO_LP_259_Du-664	CY_WOO	D. cymosa	Hicks & Woods Rd.
CY_WOO_LP_260_Du-665	CY_WOO	D. cymosa	Hicks & Woods Rd.
CY_WOO_LP_261_Du-667	CY_WOO	D. cymosa	Hicks & Woods Rd.
CY_WOO_LP_262_Du-668	CY_WOO	D. cymosa	Hicks & Woods Rd.
CY_WOO_LP_263_Du-669	CY_WOO	D. cymosa	Hicks & Woods Rd.
DAN_LP_043_Du-68	DAN	D. setchellii	Dana Rock
DAN_LP_044_Du-69	DAN	D. setchellii	Dana Rock
DAN_LP_045_Du-70	DAN	D. setchellii	Dana Rock
DAN_LP_046_Du-71	DAN	D. setchellii	Dana Rock
DAN_LP_047_Du-72	DAN	D. setchellii	Dana Rock
DOV_LP_078_Du-174	DOV	D. setchellii	Dove Road
DOV_LP_079_Du-175	DOV	D. setchellii	Dove Road
DOV_LP_080_Du-176	DOV	D. setchellii	Dove Road
DOV_LP_081_Du-177	DOV	D. setchellii	Dove Road
DOV_LP_082_Du-178	DOV	D. setchellii	Dove Road
DOV_LP_083_Du-179	DOV	D. setchellii	Dove Road
DOV_LP_084_Du-180	DOV	D. setchellii	Dove Road
DU-173	DUSE	D. setchellii	source-declared unprefixed DUSE group
DU-229	DUSE	D. setchellii	source-declared unprefixed DUSE group
DU-247	DUSE	D. setchellii	source-declared unprefixed DUSE group
DU-254	DUSE	D. setchellii	source-declared unprefixed DUSE group
DU-270	DUSE	D. setchellii	source-declared unprefixed DUSE group
DU-297	DUSE	D. setchellii	source-declared unprefixed DUSE group
DU-443	DUSE	D. setchellii	source-declared unprefixed DUSE group
DU-4A	DUSE	D. setchellii	source-declared unprefixed DUSE group
DU014LP012	DUSE	D. setchellii	source-declared unprefixed DUSE group
DU037LP013	DUSE	D. setchellii	source-declared unprefixed DUSE group
DU059LP015	DUSE	D. setchellii	source-declared unprefixed DUSE group
DU078LP011	DUSE	D. setchellii	source-declared unprefixed DUSE group
DU079LP010	DUSE	D. setchellii	source-declared unprefixed DUSE group
DUD_LP_132_Du-283	DUD	D. setchellii	Dude Rock
DUD_LP_133_Du-284	DUD	D. setchellii	Dude Rock
DUD_LP_134_Du-285	DUD	D. setchellii	Dude Rock
DUD_LP_135_Du-286	DUD	D. setchellii	Dude Rock
DUD_LP_136_Du-287	DUD	D. setchellii	Dude Rock
DUD_LP_137_Du-288	DUD	D. setchellii	Dude Rock
DUD_LP_138_Du-289	DUD	D. setchellii	Dude Rock
DUD_LP_139_Du-290	DUD	D. setchellii	Dude Rock
KIRN_LP_179_Du-421	KIRN	D. setchellii	Kirby N. Rd. Canyon
KIRN_LP_180_Du-422	KIRN	D. setchellii	Kirby N. Rd. Canyon
KIRN_LP_181_Du-423	KIRN	D. setchellii	Kirby N. Rd. Canyon
KIRN_LP_182_Du-424	KIRN	D. setchellii	Kirby N. Rd. Canyon
KIRN_LP_183_Du-425	KIRN	D. setchellii	Kirby N. Rd. Canyon
KIRN_LP_184_Du-426	KIRN	D. setchellii	Kirby N. Rd. Canyon
KIRN_LP_185_Du-427	KIRN	D. setchellii	Kirby N. Rd. Canyon
KIRN_LP_186_Du-428	KIRN	D. setchellii	Kirby N. Rd. Canyon
KIRN_LP_187_Du-429	KIRN	D. setchellii	Kirby N. Rd. Canyon
KIRT_LP_159_Du-364	KIRT	D. setchellii	KC Transect
KIRT_LP_160_Du-365	KIRT	D. setchellii	KC Transect
KIRT_LP_161_Du-366	KIRT	D. setchellii	KC Transect
