sample_id	include_chloroplast	include_mitochondria	include_shared	rule	manual_override
DAN_LP_047_Du-72	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DOV_LP_078_Du-174	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DOV_LP_079_Du-175	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DOV_LP_080_Du-176	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DOV_LP_081_Du-177	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DOV_LP_082_Du-178	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DOV_LP_083_Du-179	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DOV_LP_084_Du-180	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DU-173	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DU-229	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DU-247	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DU-254	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DU-270	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DU-297	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DU-443	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DU-4A	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DU014LP012	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DU037LP013	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DU059LP015	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DU078LP011	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DU079LP010	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DUD_LP_132_Du-283	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DUD_LP_133_Du-284	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DUD_LP_134_Du-285	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DUD_LP_135_Du-286	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DUD_LP_136_Du-287	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DUD_LP_137_Du-288	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DUD_LP_138_Du-289	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
DUD_LP_139_Du-290	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
KIRN_LP_179_Du-421	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
KIRN_LP_180_Du-422	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
KIRN_LP_181_Du-423	yes	yes	yes	organelle_unique_mappability_breadth_dp5>=0.80	no
