sample_id	organelle	best_k	species	popcode	population_name	plot_group	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7	cluster_8
DOV_LP_078_Du-174	cpDNA	8	D. setchellii	DOV	Dove Road	D. setchellii_DOV	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000
DOV_LP_079_Du-175	cpDNA	8	D. setchellii	DOV	Dove Road	D. setchellii_DOV	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000
DOV_LP_080_Du-176	cpDNA	8	D. setchellii	DOV	Dove Road	D. setchellii_DOV	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000
DOV_LP_081_Du-177	cpDNA	8	D. setchellii	DOV	Dove Road	D. setchellii_DOV	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000
DOV_LP_082_Du-178	cpDNA	8	D. setchellii	DOV	Dove Road	D. setchellii_DOV	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000
DOV_LP_083_Du-179	cpDNA	8	D. setchellii	DOV	Dove Road	D. setchellii_DOV	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000
DOV_LP_084_Du-180	cpDNA	8	D. setchellii	DOV	Dove Road	D. setchellii_DOV	0.00001000	0.00001000	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000
DUD_LP_132_Du-283	cpDNA	8	D. setchellii	DUD	Dude Rock	D. setchellii_DUD	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
DUD_LP_133_Du-284	cpDNA	8	D. setchellii	DUD	Dude Rock	D. setchellii_DUD	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
DUD_LP_134_Du-285	cpDNA	8	D. setchellii	DUD	Dude Rock	D. setchellii_DUD	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
DUD_LP_135_Du-286	cpDNA	8	D. setchellii	DUD	Dude Rock	D. setchellii_DUD	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
DUD_LP_136_Du-287	cpDNA	8	D. setchellii	DUD	Dude Rock	D. setchellii_DUD	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
DUD_LP_137_Du-288	cpDNA	8	D. setchellii	DUD	Dude Rock	D. setchellii_DUD	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
DUD_LP_138_Du-289	cpDNA	8	D. setchellii	DUD	Dude Rock	D. setchellii_DUD	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
DUD_LP_139_Du-290	cpDNA	8	D. setchellii	DUD	Dude Rock	D. setchellii_DUD	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
KIRN_LP_179_Du-421	cpDNA	8	D. setchellii	KIRN	Kirby N. Rd. Canyon	D. setchellii_KIRN	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
KIRN_LP_180_Du-422	cpDNA	8	D. setchellii	KIRN	Kirby N. Rd. Canyon	D. setchellii_KIRN	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
KIRN_LP_181_Du-423	cpDNA	8	D. setchellii	KIRN	Kirby N. Rd. Canyon	D. setchellii_KIRN	0.00001000	0.00001000	0.99992600	0.00001000	0.00001000	0.00001000	0.00001400	0.00001000
KIRN_LP_182_Du-424	cpDNA	8	D. setchellii	KIRN	Kirby N. Rd. Canyon	D. setchellii_KIRN	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
KIRN_LP_183_Du-425	cpDNA	8	D. setchellii	KIRN	Kirby N. Rd. Canyon	D. setchellii_KIRN	0.00001000	0.00001000	0.99992600	0.00001000	0.00001000	0.00001000	0.00001400	0.00001000
KIRN_LP_184_Du-426	cpDNA	8	D. setchellii	KIRN	Kirby N. Rd. Canyon	D. setchellii_KIRN	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
KIRN_LP_185_Du-427	cpDNA	8	D. setchellii	KIRN	Kirby N. Rd. Canyon	D. setchellii_KIRN	0.00001000	0.00001000	0.99992600	0.00001000	0.00001000	0.00001000	0.00001400	0.00001000
KIRN_LP_186_Du-428	cpDNA	8	D. setchellii	KIRN	Kirby N. Rd. Canyon	D. setchellii_KIRN	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
KIRN_LP_187_Du-429	cpDNA	8	D. setchellii	KIRN	Kirby N. Rd. Canyon	D. setchellii_KIRN	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
KIRT_LP_159_Du-364	cpDNA	8	D. setchellii	KIRT	KC Transect	D. setchellii_KIRT	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
KIRT_LP_160_Du-365	cpDNA	8	D. setchellii	KIRT	KC Transect	D. setchellii_KIRT	0.00001000	0.00001000	0.99992600	0.00001000	0.00001000	0.00001000	0.00001400	0.00001000
KIRT_LP_161_Du-366	cpDNA	8	D. setchellii	KIRT	KC Transect	D. setchellii_KIRT	0.00001000	0.00001000	0.99992600	0.00001000	0.00001000	0.00001000	0.00001400	0.00001000
KIRT_LP_162_Du-367	cpDNA	8	D. setchellii	KIRT	KC Transect	D. setchellii_KIRT	0.00001000	0.00001000	0.99992600	0.00001000	0.00001000	0.00001000	0.00001400	0.00001000
KIRT_LP_163_Du-368	cpDNA	8	D. setchellii	KIRT	KC Transect	D. setchellii_KIRT	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
KIRT_LP_164_Du-369	cpDNA	8	D. setchellii	KIRT	KC Transect	D. setchellii_KIRT	0.00001000	0.00001000	0.99992600	0.00001000	0.00001000	0.00001000	0.00001400	0.00001000
KIRT_LP_165_Du-370	cpDNA	8	D. setchellii	KIRT	KC Transect	D. setchellii_KIRT	0.00001000	0.00001000	0.99993000	0.00001000	0.00001000	0.00001000	0.00001000	0.00001000
